icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;14;-;-;-;-;-;-;-;-;-;-;0.51;-;0.63;1.24;2;1.57;-;6.68;0.46;0.27;0.18;0.02
C01;Base of tongue;8;-;-;-;-;-;-;-;-;0.44;0.48;-;1.8;0.63;-;0.67;-;1.38;-;0.26;0.24;0.17;0.02
C02;Tongue;24;-;-;-;-;-;0.55;-;-;0.87;1.43;0.51;0.6;0.63;1.24;1.33;1.57;5.53;6.68;0.79;0.55;0.4;0.04
C03;Gum;5;-;-;-;-;-;-;-;-;-;-;-;1.2;-;1.24;-;0.79;-;-;0.17;0.14;0.09;0.01
C04;Floor of mouth;15;-;-;-;-;-;-;-;-;-;0.95;1.54;1.8;1.26;1.24;-;-;4.15;-;0.5;0.44;0.31;0.03
C05;Palate;16;-;-;-;-;-;-;-;-;-;0.95;1.54;3.59;-;1.86;0.67;0.79;-;-;0.53;0.5;0.35;0.04
C06;Mouth, NOS;14;-;-;-;-;-;-;-;-;-;-;0.51;-;1.26;0.62;3.99;1.57;1.38;1.34;0.46;0.3;0.2;0.03
C07;Parotid gland;22;-;-;-;-;-;-;-;-;0.87;0.95;0.51;0.6;1.88;1.86;2;0.79;2.77;5.34;0.73;0.52;0.38;0.04
C08;Salivary glands, NOS;8;-;-;-;-;-;-;-;-;-;0.48;0.51;0.6;1.26;-;-;0.79;-;2.67;0.26;0.21;0.15;0.01
C09;Tonsil;20;-;-;-;-;-;-;-;0.42;-;2.86;1.54;0.6;2.51;1.24;2;-;-;-;0.66;0.61;0.48;0.06
C10;Oropharynx;6;-;-;-;-;-;-;-;0.42;0.44;0.48;0.51;0.6;-;-;-;0.79;-;-;0.2;0.18;0.14;0.01
C11;Nasopharynx;6;-;-;-;-;0.55;-;-;-;-;-;-;0.6;-;1.24;-;0.79;-;1.34;0.2;0.15;0.12;0.01
C12;Pyriform sinus;6;-;-;-;-;-;-;-;-;-;0.48;0.51;0.6;-;0.62;-;0.79;-;1.34;0.2;0.16;0.11;0.01
C13;Hypopharynx;5;-;-;-;-;-;-;-;-;-;-;-;1.2;1.26;-;0.67;-;-;-;0.17;0.15;0.11;0.02
C14;Lip, oral cavity and pharynx, NOS;5;-;-;-;-;-;-;-;-;-;-;0.51;0.6;-;0.62;-;0.79;-;1.34;0.17;0.13;0.08;0.01
C15;Oesophagus;95;-;-;-;-;-;-;-;0.85;-;1.91;3.58;4.79;5.65;9.89;11.98;12.57;11.06;9.35;3.14;2.22;1.53;0.19
C16;Stomach;326;-;-;-;-;-;1.09;1.41;1.27;1.31;3.34;3.07;8.38;13.82;24.73;25.28;46.35;64.99;109.56;10.79;6.42;4.15;0.42
C17;Small intestine;39;-;-;-;-;-;-;0.94;0.42;1.31;0.48;1.02;1.2;2.51;1.24;5.32;2.36;6.91;8.02;1.29;0.9;0.63;0.07
C18;Colon;1393;-;-;-;-;1.1;1.09;1.41;5.92;9.15;20.5;27.63;38.91;71.6;112.54;157.69;205.04;240.59;295.29;46.09;29.28;19.46;2.21
C19;Rectosigmoid junction;115;-;-;-;-;-;-;-;-;1.74;0.48;3.07;6.58;11.31;13.6;8.65;14.93;16.59;12.03;3.8;2.72;1.88;0.23
C20;Rectum;516;-;-;-;-;1.1;-;0.94;1.69;3.92;8.1;16.89;31.73;33.29;40.19;52.56;63.63;82.96;77.5;17.07;11.92;8.11;0.95
C21;Anus and anal canal;20;-;-;-;-;-;-;-;-;1.31;1.43;1.02;0.6;0.63;0.62;-;3.93;4.15;1.34;0.66;0.49;0.35;0.03
C22;Liver and intrahepatic bile ducts;91;1.29;-;0.59;-;-;-;-;-;-;1.43;1.02;2.39;8.16;4.33;13.31;12.57;13.83;17.37;3.01;2;1.45;0.16
C23;Gallbladder;48;-;-;-;-;-;-;-;-;-;0.95;1.02;0.6;3.77;3.09;4.66;11.78;6.91;6.68;1.59;1;0.65;0.07
C24;Biliary tract, NOS;33;-;-;-;-;-;-;-;-;-;1.43;-;1.2;-;3.09;5.32;5.5;5.53;5.34;1.09;0.67;0.44;0.06
C25;Pancreas;249;-;-;-;-;-;-;0.47;0.42;2.18;3.81;8.19;9.58;13.82;17.31;29.94;38.49;38.72;40.08;8.24;5.47;3.66;0.43
C26;Other ill-defined digestive organs;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.67;-;1.38;-;0.07;0.03;0.02;0
