icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;10;-;-;-;-;-;-;-;-;-;-;1.020049064359996;1.128197028329027;-;-;1.306617363638145;1.558044965177695;1.23510158710554;1.386962552011096;0.3296672141340203;0.235675317808806;0.1509534519712839;0.01727282535735064
C01;Base of tongue;9;-;-;-;-;-;-;-;-;-;-;0.5100245321799979;1.128197028329027;1.941747572815534;0.6265232346141557;-;-;2.470203174211079;-;0.2967004927206183;0.2502438787197952;0.1794457235642624;0.02103025017249349
C02;Tongue;28;-;-;-;-;-;-;-;0.4275898045487004;0.4298634753602256;1.866725157388265;0.5100245321799979;1.128197028329027;0.6472491909385113;3.759139407684934;1.959926045457218;1.558044965177695;3.705304761316618;5.547850208044383;0.9230681995752568;0.6593042957783483;0.4737887092558072;0.05362918761713242
C03;Gum;7;-;-;-;-;-;-;-;-;-;-;0.5100245321799979;-;0.6472491909385113;1.253046469228311;-;0.7790224825888475;1.23510158710554;1.386962552011096;0.2307670498938142;0.1599871266116012;0.1098831338448613;0.01205087478547417
C04;Floor of mouth;28;-;-;-;-;-;-;-;-;-;1.866725157388265;2.040098128719992;3.384591084987082;3.236245954692556;1.879569703842467;1.959926045457218;1.558044965177695;1.23510158710554;-;0.9230681995752568;0.8158578775534552;0.596183467078204;0.07180998465594612
C05;Palate;19;-;-;-;-;-;-;-;-;0.4298634753602256;1.866725157388265;1.530073596539994;1.128197028329027;1.941747572815534;0.6265232346141557;1.306617363638145;1.558044965177695;-;1.386962552011096;0.6263677068546385;0.5419355315080876;0.4045400885607116;0.04413899302249114
C06;Mouth, NOS;18;-;-;-;-;-;-;-;0.4275898045487004;-;-;1.020049064359996;1.128197028329027;1.294498381877023;1.253046469228311;1.306617363638145;3.895112412944238;2.470203174211079;-;0.5934009854412365;0.4256761212964738;0.2885915392492738;0.03214482300424315
C07;Parotid gland;18;-;-;-;-;0.5480773446748805;-;-;-;0.4298634753602256;-;-;-;1.294498381877023;1.879569703842467;1.959926045457218;-;6.175507935527697;4.160887656033287;0.5934009854412365;0.3705253019293336;0.2686855213529082;0.03055500576307768
C08;Salivary glands, NOS;7;-;-;0.5777942128131645;-;0.5480773446748805;-;-;0.4275898045487004;-;0.4666812893470662;-;0.5640985141645137;-;-;0.6533086818190726;-;1.23510158710554;-;0.2307670498938142;0.2072061727723652;0.191309554499411;0.01618643909140349
C09;Tonsil;16;-;-;-;-;-;-;-;0.4275898045487004;-;0.4666812893470662;0.5100245321799979;3.948689599151596;-;0.6265232346141557;1.306617363638145;0.7790224825888475;1.23510158710554;1.386962552011096;0.5274675426144324;0.4412826111110532;0.3029336660414689;0.03642399396946994
C10;Oropharynx;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1.253046469228311;-;-;-;-;0.06593344282680405;0.05012185876913246;0.03759139407684934;0.006265036084562858
C11;Nasopharynx;8;-;-;-;-;-;0.5561178524953009;-;-;-;0.4666812893470662;0.5100245321799979;0.5640985141645137;1.294498381877023;0.6265232346141557;-;0.7790224825888475;-;-;0.2637337713072162;0.2465098661616307;0.1989213298754225;0.0200877011744649
C12;Pyriform sinus;8;-;-;-;-;-;-;-;-;-;0.4666812893470662;1.530073596539994;0.5640985141645137;-;0.6265232346141557;0.6533086818190726;-;1.23510158710554;-;0.2637337713072162;0.2306299585721588;0.165105876364738;0.01920158284248741
C13;Hypopharynx;3;-;-;-;-;-;-;-;-;-;0.4666812893470662;-;1.128197028329027;-;-;-;-;-;-;0.09890016424020609;0.1003595119540363;0.07312875849398508;0.007974073642225132
C14;Lip, oral cavity and pharynx, NOS;4;-;-;-;-;-;-;-;-;-;-;-;-;0.6472491909385113;0.6265232346141557;0.6533086818190726;-;-;1.386962552011096;0.1318668856536081;0.09089227490617494;0.06468665107240205;0.00963494134657017
C15;Oesophagus;91;-;-;-;-;-;-;-;-;0.8597269507204511;0.4666812893470662;2.550122660899989;4.51278811331611;5.825242718446602;9.397848519212335;9.146321545467018;10.12729227365502;12.35101587105539;19.41747572815534;2.999971648619585;2.003920934386734;1.345589127937873;0.163659590382037
C16;Stomach;352;-;-;-;-;-;0.5561178524953009;0.4782789609867851;0.8551796090974008;2.579180852161354;4.200131604123596;5.610269853979977;9.589674740796733;18.77022653721683;18.16917380381052;35.931977500049;45.96232647274201;71.63589205212129;104.0221914008322;11.60428593751751;6.99398656374602;4.547793679708796;0.4825331069000516
C17;Small intestine;41;-;-;-;-;-;-;0.9565579219735703;-;0.8597269507204511;1.400043868041199;1.530073596539994;3.948689599151596;1.294498381877023;4.385662642299089;3.266543409095363;3.11608993035539;2.470203174211079;5.547850208044383;1.351635577949483;1.049819599046699;0.7473628371779688;0.08817008916255364
C18;Colon;1373;-;-;0.5777942128131645;-;1.096154689349761;0.5561178524953009;0.9565579219735703;3.848308240938303;7.307679081123836;13.53375739106492;29.07139833425988;45.1278811331611;66.01941747572816;95.85805489596582;150.2609968183867;198.6507330601561;249.490520595319;323.1622746185853;45.26330850060098;28.03668219618978;18.35315619159319;2.049771218390073
C19;Rectosigmoid junction;111;-;-;-;-;-;-;-;-;0.4298634753602256;1.866725157388265;3.060147193079987;3.384591084987082;6.472491909385113;7.518278815369868;15.67940836365775;11.68533723883271;23.46693015500525;19.41747572815534;3.659306076887625;2.335335775509261;1.555497930932178;0.1918732175361981
C20;Rectum;492;-;-;-;-;-;-;0.9565579219735703;2.565538827292202;3.009044327521579;7.000219340205994;10.71051517577996;24.8203346232386;36.24595469255664;41.97705671914843;43.77168168187787;58.42668619416357;86.45711109738777;85.99167822468793;16.2196269353938;10.88370343984258;7.371315100204431;0.8516373637777575
C21;Anus and anal canal;35;-;-;-;-;-;-;-;0.4275898045487004;0.4298634753602256;1.400043868041199;2.040098128719992;0.5640985141645137;3.236245954692556;2.506092938456623;3.919852090914437;3.11608993035539;2.470203174211079;5.547850208044383;1.153835249469071;0.8568314906467673;0.6142995102541086;0.0725930623524551
C22;Liver and intrahepatic bile ducts;83;-;-;-;-;0.5480773446748805;1.112235704990602;0.4782789609867851;0.4275898045487004;0.4298634753602256;1.400043868041199;2.550122660899989;3.948689599151596;2.588996763754045;6.265232346141556;4.573160772733509;15.58044965177695;16.05632063237201;11.09570041608877;2.736237877312368;1.823539362049779;1.256969985669669;0.1215375397414342
C23;Gallbladder;43;-;-;-;-;-;-;-;-;0.4298634753602256;0.4666812893470662;-;0.5640985141645137;2.588996763754045;1.879569703842467;5.879778136371654;7.790224825888475;11.11591428394986;6.934812760055478;1.417569020776287;0.8139417817697546;0.5220550343207983;0.05902751132015327
C24;Biliary tract, NOS;43;-;-;-;-;-;-;-;-;-;0.4666812893470662;-;1.128197028329027;2.588996763754045;3.132616173070778;4.573160772733509;9.34826979106617;3.705304761316618;12.48266296809986;1.417569020776287;0.8411538933620631;0.5365528662486845;0.05943059315908217
