icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;49;-;-;-;-;-;0.5407276030626812;0.4657943890407896;-;0.4163561343831059;0.9041836577845692;0.9888702651655615;0.5553889388738934;0.6709608158883521;3.436378881389946;10.30658114847026;10.91000338210105;14.61133839859731;18.31837332844843;1.660557622027263;1.293136395209605;0.8319073444336332;0.09138442814558001
C01;Base of tongue;28;-;-;-;-;-;-;-;-;0.4163561343831059;1.356275486676854;1.977740530331123;3.887722572117253;3.35480407944176;2.749103105111957;-;2.18200067642021;-;7.327349331379374;0.9488900697298646;0.8904072399431753;0.635875836416972;0.06868640961873451
C02;Tongue;82;-;-;-;-;0.5298181664052897;1.081455206125362;1.397383167122369;-;0.8327122687662118;2.260459144461423;4.944351325827808;8.330834083108401;12.07729468599034;5.498206210223914;7.135325410479415;5.455001691050524;2.087334056942473;10.99102399706906;2.778892347066032;2.550818953880078;1.889472363375661;0.2201964095750242
C03;Gum;10;-;-;-;-;-;-;-;-;-;0.9041836577845692;0.4944351325827808;1.110777877747787;0.6709608158883521;0.6872757762779893;1.585627868995425;-;-;3.663674665689687;0.3388893106178088;0.3097946425628785;0.2208915278383554;0.02726258872709497
C04;Floor of mouth;76;-;-;-;-;-;-;0.4657943890407896;-;2.08178067191553;4.520918288922847;6.42765672357615;8.330834083108401;8.051529790660226;2.749103105111957;7.928139344977128;3.273001014630314;4.174668113884946;3.663674665689687;2.575558760695346;2.338808792303532;1.71374459621938;0.2025733247124961
C05;Palate;25;-;-;-;-;-;-;-;-;0.4163561343831059;0.9041836577845692;1.483305397748342;3.887722572117253;3.35480407944176;2.061827328833968;-;2.18200067642021;4.174668113884946;-;0.8472232765445219;0.765132509413857;0.5476468906784842;0.06052267348835016
C06;Mouth, NOS;41;-;-;-;-;-;-;0.4657943890407896;-;0.8327122687662118;1.808367315569138;2.472175662913904;5.553889388738933;2.683843263553408;3.436378881389946;3.964069672488564;2.18200067642021;4.174668113884946;3.663674665689687;1.389446173533016;1.236359687796715;0.8829150081935021;0.1060299027451528
C07;Parotid gland;36;-;-;-;-;-;0.5407276030626812;0.4657943890407896;0.4131924071763257;0.4163561343831059;1.356275486676854;0.9888702651655615;2.221555755495574;2.683843263553408;3.436378881389946;1.585627868995425;5.455001691050524;12.52400434165484;3.663674665689687;1.220001518224112;1.016171463712694;0.7183071230707111;0.07051823447239425
C08;Salivary glands, NOS;9;-;-;-;-;-;-;-;-;0.4163561343831059;-;0.4944351325827808;-;1.341921631776704;0.6872757762779893;0.7928139344977126;-;6.26200217082742;-;0.3050003795560279;0.2447469410707724;0.1711645527956246;0.01866227142902632
C09;Tonsil;72;-;-;-;-;-;0.5407276030626812;0.4657943890407896;-;1.249068403149318;3.164642802245992;5.438786458410589;10.55238983860397;5.367686527106817;4.123654657667936;7.135325410479415;4.364001352840419;4.174668113884946;3.663674665689687;2.440003036448223;2.20632849605889;1.594018796826046;0.1900096331509116
C10;Oropharynx;30;-;-;-;-;-;-;-;-;-;1.356275486676854;2.966610795496685;2.776944694369467;2.683843263553408;3.436378881389946;2.378441803493138;3.273001014630314;-;3.663674665689687;1.016667931853426;0.9143160609018814;0.6498471732786733;0.07796206839977282
C11;Nasopharynx;14;-;0.580366211079191;0.5508245844028511;0.5682044172211395;-;-;-;0.4131924071763257;-;0.4520918288922846;0.4944351325827808;1.66616681662168;0.6709608158883521;0.6872757762779893;1.585627868995425;-;2.087334056942473;-;0.4744450348649323;0.4435892781769456;0.3916406483006958;0.03833837826054953
C12;Pyriform sinus;51;-;-;-;-;-;-;-;-;0.4163561343831059;4.068826460030562;6.42765672357615;7.220056205360613;4.696725711218465;2.749103105111957;1.585627868995425;2.18200067642021;-;-;1.728335484150825;1.633111383944593;1.20317072580426;0.1357295650349921
C13;Hypopharynx;21;-;-;-;-;-;-;-;-;0.4163561343831059;1.356275486676854;1.977740530331123;1.66616681662168;2.012882447665056;1.374551552555979;2.378441803493138;1.091000338210105;-;3.663674665689687;0.7116675522973984;0.6479322516060617;0.4704406537087148;0.05589644597138177
