icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;18.0;-;-;-;-;-;-;-;-;-;-;2.58251123;3.88372138;2.82965478;2.91044559;6.15375148;-;6.72110764;8.37240455;1.0974258;1.0072473;0.68351657;0.0917583
C01;Base of tongue;20.0;-;-;-;-;-;-;-;-;-;4.06398335;2.58251123;1.94186069;4.24448217;5.82089118;3.07687574;-;-;8.37240455;1.21936201;1.20285634;0.89844455;0.10859402
C02;Tongue;78.0;-;-;-;-;-;0.96812919;-;2.42471267;2.33817856;4.87678002;15.4950674;16.50581587;9.90379174;8.73133677;10.76906509;12.03900638;10.08166146;8.37240455;4.75551182;4.4103855;3.17695008;0.35941693
C03;Gum;15.0;-;-;-;-;-;-;-;-;1.55878571;0.81279667;0.86083708;2.91279104;4.24448217;1.45522279;3.07687574;2.00650106;3.36055382;-;0.9145215;0.83751168;0.6136897;0.07458113
C04;Floor of mouth;58.0;-;-;-;-;-;-;-;-;3.11757141;4.06398335;8.60837078;17.47674622;8.48896435;7.27611397;10.76906509;6.01950319;-;-;3.53614982;3.31285435;2.3938;0.2985575
C05;Palate;22.0;-;-;-;-;-;-;-;0.80823756;-;2.43839001;2.58251123;4.85465173;4.24448217;4.36566838;3.07687574;2.00650106;3.36055382;-;1.34129821;1.2522115;0.91726392;0.11179155
C06;Mouth, NOS;36.0;-;-;-;-;-;-;-;-;-;1.62559334;9.46920786;7.76744276;7.07413696;-;4.61531361;8.02600425;-;25.11721366;2.19485161;2.14654113;1.46281157;0.15264186
C07;Parotid gland;13.0;-;-;-;-;-;-;0.84944446;-;-;-;1.72167416;0.97093035;1.41482739;1.45522279;3.07687574;-;10.08166146;16.74480911;0.7925853;0.72775538;0.47180724;0.04743362
C08;Salivary glands, NOS;8.0;-;-;-;-;-;0.96812919;-;-;-;0.81279667;0.86083708;0.97093035;-;1.45522279;3.07687574;2.00650106;-;-;0.4877448;0.43382443;0.33335641;0.04071567
C09;Tonsil;68.0;-;-;-;-;-;-;-;-;1.55878571;14.63034007;10.33004494;18.44767656;8.48896435;7.27611397;1.53843787;6.01950319;6.72110764;-;4.14583082;3.9124496;2.90816818;0.31086762
C10;Oropharynx;42.0;-;-;-;-;-;-;-;0.80823756;2.33817856;4.87678002;9.46920786;11.65116415;5.65930956;4.36566838;-;4.01300213;-;-;2.56066021;2.46139038;1.81837118;0.19565108
C11;Nasopharynx;13.0;-;-;-;-;-;0.96812919;0.84944446;0.80823756;0.77939285;1.62559334;0.86083708;0.97093035;1.41482739;-;3.07687574;4.01300213;-;-;0.7925853;0.71397792;0.56135013;0.05675523
C12;Pyriform sinus;56.0;-;-;-;-;-;-;-;-;7.01453568;3.25118668;7.7475337;15.53488553;8.48896435;8.73133677;6.15375148;2.00650106;-;8.37240455;3.41421362;3.27518936;2.41121619;0.28420634
C13;Hypopharynx;14.0;-;-;-;-;-;-;-;-;0.77939285;-;3.44334831;0.97093035;2.82965478;4.36566838;3.07687574;2.00650106;-;-;0.8535534;0.80239347;0.58352697;0.07729946
C14;Lip, oral cavity and pharynx, NOS;29.0;-;-;-;-;-;-;-;0.80823756;1.55878571;2.43839001;6.02585955;4.85465173;7.07413696;2.91044559;4.61531361;2.00650106;-;-;1.76807491;1.6981823;1.26645397;0.15131451
C15;Oesophagus;215.0;-;-;-;-;-;-;-;2.42471267;3.89696426;13.00474673;30.12929773;34.95349244;36.78551217;33.47012428;55.38376333;46.14952446;36.96609201;8.37240455;13.10814156;11.77507898;8.33557721;1.04474727
C16;Stomach;274.0;-;-;-;-;-;-;-;3.23295023;3.11757141;8.94076338;15.4950674;23.30232829;39.61516695;58.20891178;66.15282842;104.3380553;97.45606076;175.82049565;16.70525947;14.66641071;9.68801754;1.08440541
C17;Small intestine;27.0;-;-;-;-;-;-;0.84944446;0.80823756;0.77939285;1.62559334;0.86083708;2.91279104;2.82965478;7.27611397;3.07687574;12.03900638;10.08166146;-;1.64613871;1.38584315;0.96711908;0.1050395
C18;Colon;766.0;-;0.97570495;0.88822568;2.75953419;-;-;3.39777785;6.46590046;10.91149994;20.31991677;28.40762357;69.90698487;86.30447085;183.35807212;190.7662959;288.93615314;359.57925866;360.01339585;46.70156481;39.73043684;26.36380688;2.9770949
