icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;2.0;-;-;-;-;-;-;-;-;-;-;3.27815112;-;-;-;-;-;5.4884742;-;0.37798609;0.28435532;0.19134993;0.01638941
C01;Base of tongue;5.0;-;-;-;-;-;-;-;-;-;-;3.27815112;-;-;4.80954213;4.87068336;4.86215783;5.4884742;-;0.94496523;0.72010066;0.48167144;0.0647709
C02;Tongue;12.0;-;-;-;-;-;-;-;-;2.80717514;6.01956358;-;17.52725488;13.45110523;-;-;-;-;6.5368022;2.26791654;2.40743029;1.80142274;0.19882757
C03;Gum;6.0;-;-;-;-;-;-;-;-;-;-;-;7.01090195;-;4.80954213;9.74136671;4.86215783;-;-;1.13395827;1.00251996;0.66817125;0.10775096
C04;Floor of mouth;3.0;-;-;-;-;-;-;-;-;-;-;3.27815112;3.50545098;4.48370174;-;-;-;-;-;0.56697914;0.66398272;0.48347366;0.05632065
C05;Palate;9.0;-;-;-;-;-;2.18784869;-;-;-;-;3.27815112;3.50545098;8.96740349;9.61908426;4.87068336;-;5.4884742;-;1.70093741;1.62708583;1.2512782;0.16201173
C06;Mouth, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C07;Parotid gland;1.0;-;-;-;-;-;-;-;-;-;-;-;3.50545098;-;-;-;-;-;-;0.18899305;0.21032706;0.14021804;0.01752572
C08;Salivary glands, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C09;Tonsil;6.0;-;-;-;-;-;-;-;-;-;-;6.55630225;-;8.96740349;-;4.87068336;4.86215783;-;-;1.13395827;1.15067499;0.8325465;0.10191997
C10;Oropharynx;2.0;-;-;-;-;-;-;-;-;-;-;-;-;4.48370174;4.80954213;-;-;-;-;0.37798609;0.41656677;0.32363433;0.04645543
C11;Nasopharynx;2.0;-;-;-;-;-;-;-;-;-;3.00978179;3.27815112;-;-;-;-;-;-;-;0.37798609;0.4401553;0.34449446;0.03143472
C12;Pyriform sinus;5.0;-;-;-;-;-;-;-;-;-;-;3.27815112;10.51635293;-;-;4.87068336;-;-;-;0.94496523;1.00657226;0.68197534;0.0932824
C13;Hypopharynx;1.0;-;-;-;-;-;-;-;-;-;-;-;-;4.48370174;-;-;-;-;-;0.18899305;0.22418509;0.17934807;0.022416
C14;Lip, oral cavity and pharynx, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C15;Oesophagus;17.0;-;-;-;-;-;-;-;-;2.80717514;3.00978179;-;7.01090195;13.45110523;14.42862639;4.87068336;4.86215783;5.4884742;26.14720879;3.21288177;2.63726191;1.90457016;0.22763189
C16;Stomach;28.0;-;-;-;-;-;2.18784869;-;-;5.61435028;-;3.27815112;7.01090195;-;14.42862639;9.74136671;29.17294695;32.93084523;32.68401098;5.29180526;3.30527218;2.20372242;0.21108313
C17;Small intestine;10.0;-;-;-;-;-;-;-;-;2.80717514;3.00978179;-;3.50545098;-;14.42862639;9.74136671;-;10.97694841;-;1.88993045;1.59666958;1.17180632;0.16732187
C18;Colon;257.0;-;-;-;3.53531783;2.7898672;-;4.64662423;5.1607576;5.61435028;15.04890895;22.94705786;49.07631367;58.28812267;134.66717968;194.82733427;204.21062868;246.98133919;359.5241208;48.57121258;31.42176122;20.82273245;2.45243607
C19;Rectosigmoid junction;9.0;-;-;-;-;-;-;-;-;-;3.00978179;-;3.50545098;4.48370174;9.61908426;4.87068336;4.86215783;10.97694841;-;1.70093741;1.38309338;0.98964553;0.12736234
C20;Rectum;80.0;-;-;-;-;-;4.37569738;-;2.5803788;11.22870056;6.01956358;9.83445337;31.54905879;49.32071919;43.28587918;43.83615021;53.48373608;54.88474204;58.83121977;15.1194436;11.99504906;8.5450047;1.0050681
C21;Anus and anal canal;13.0;-;-;-;-;-;-;-;-;2.80717514;3.00978179;-;7.01090195;4.48370174;-;9.74136671;4.86215783;10.97694841;19.61040659;2.45690959;1.7473839;1.20518725;0.1351732
C22;Liver and intrahepatic bile ducts;16.0;-;-;-;-;-;-;-;2.5803788;-;-;3.27815112;7.01090195;8.96740349;-;14.61205007;14.58647348;16.46542261;6.5368022;3.02388872;2.23923461;1.51097936;0.18207846
C23;Gallbladder;8.0;-;-;-;-;-;-;-;-;-;-;-;3.50545098;-;19.23816853;-;9.72431565;-;6.5368022;1.51194436;1.23970813;0.84729026;0.11365346
C24;Biliary tract, NOS;8.0;-;-;-;-;-;-;-;-;-;-;-;-;-;14.42862639;-;4.86215783;16.46542261;6.5368022;1.51194436;0.90441046;0.59649149;0.07211712
C25;Pancreas;65.0;-;-;-;-;-;-;-;2.5803788;2.80717514;3.00978179;13.11260449;17.52725488;49.32071919;43.28587918;63.31888364;34.03510478;43.90779363;32.68401098;12.28454793;10.10098889;7.12165345;0.97007748
C26;Other ill-defined digestive organs;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C30;Nasal cavity and middle ear;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C31;Accessory sinuses;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;4.80954213;-;-;-;-;0.18899305;0.19238169;0.14428626;0.02404482
C32;Larynx;14.0;-;-;-;-;-;-;-;-;-;-;3.27815112;3.50545098;13.45110523;4.80954213;4.87068336;14.58647348;5.4884742;19.61040659;2.64590263;1.99357336;1.35522887;0.14946286
C33;Trachea;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.86215783;-;-;0.18899305;0.09724316;0.04862158;-
C34;Bronchus and lung;182.0;-;-;-;-;-;4.37569738;2.32331211;15.4822728;2.80717514;36.11738149;52.45041796;77.11992148;125.54364884;101.00038476;112.02571721;131.27826129;76.83863886;58.83121977;34.3967342;30.23636643;21.74458579;2.6115238
C37;Thymus;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C38;Heart, mediastinum and pleura;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C39;Respiratory system and intrathoracic organs, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;4.0;-;-;3.6416606;3.53531783;-;-;2.32331211;-;-;3.00978179;-;-;-;-;-;-;-;-;0.75597218;0.87570506;0.96591369;0.0625308
C41;Bone and articular cartilage, NOS;3.0;2.85184657;-;-;-;-;-;-;-;-;3.00978179;-;-;-;-;-;4.86215783;-;-;0.56697914;0.53607561;0.57143007;0.02930385
C43;Malignant melanoma of skin;86.0;-;-;-;-;2.7898672;4.37569738;4.64662423;20.6430304;14.0358757;12.03912716;19.66890674;56.08721562;40.3533157;24.04771066;58.44820028;29.17294695;27.44237102;32.68401098;16.25340187;14.75691493;10.97894791;1.27744832
C44;Malignant neoplasms of skin;119.0;-;-;-;-;-;-;2.32331211;-;-;12.03912716;-;28.04360781;17.93480698;52.90496345;38.96546685;102.10531434;164.65422613;209.17767028;22.49017236;12.65031536;7.95755381;0.75816772
C45;Mesothelioma;2.0;-;-;-;-;-;-;-;-;-;-;3.27815112;-;-;4.80954213;-;-;-;-;0.37798609;0.42185226;0.30819382;0.04043029
C46;Kaposi's sarcoma;4.0;-;-;-;-;-;-;-;2.5803788;2.80717514;-;-;-;8.96740349;-;-;-;-;-;0.75597218;0.82549895;0.68194938;0.07174904
C47,C49;Soft tissues;17.0;-;-;-;-;2.7898672;2.18784869;2.32331211;5.1607576;8.42152542;-;-;7.01090195;8.96740349;9.61908426;-;-;10.97694841;6.5368022;3.21288177;2.89075694;2.36782648;0.23213366
C48;Retroperitoneum and peritoneum;3.0;-;-;-;-;-;2.18784869;-;-;-;-;-;-;4.48370174;-;-;4.86215783;-;-;0.56697914;0.47457765;0.40299754;0.03335219
C50;Breast;933.0;-;-;-;-;-;13.12709213;32.52636959;77.41136399;202.11661006;288.93905192;314.70250779;438.18137203;452.85387616;466.52558676;467.58560226;354.93752127;373.21624588;385.67132959;176.33051104;161.32740353;119.17759916;12.86386077
C51;Vulva;12.0;-;-;-;-;-;-;-;-;-;-;6.55630225;-;8.96740349;4.80954213;9.74136671;9.72431565;10.97694841;6.5368022;2.26791654;1.76155784;1.21043676;0.15026007
C52;Vagina;5.0;-;-;-;-;-;-;-;-;-;-;-;-;8.96740349;9.61908426;4.87068336;-;-;-;0.94496523;0.97925405;0.74468233;0.1172171
C53;Cervix uteri;81.0;-;-;-;-;-;4.37569738;6.96993634;25.803788;28.0717514;45.14672686;26.22520898;31.54905879;8.96740349;24.04771066;9.74136671;29.17294695;32.93084523;19.61040659;15.30843665;14.26585221;11.11220127;1.04895295
C54;Corpus uteri;100.0;-;-;-;-;-;-;-;-;11.22870056;9.02934537;22.94705786;35.05450976;49.32071919;43.28587918;87.67230042;102.10531434;82.32711306;13.07360439;18.89930451;14.95138145;10.28792392;1.28437318
C55;Uterus;2.0;-;-;-;-;-;-;-;-;-;-;-;-;-;4.80954213;4.87068336;-;-;-;0.37798609;0.33850219;0.24169993;0.04838942
C56;Ovary;62.0;-;-;-;-;2.7898672;4.37569738;-;5.1607576;-;12.03912716;19.66890674;3.50545098;26.90221046;57.71450558;73.06025035;14.58647348;21.95389682;39.22081318;11.71756879;10.04170681;7.44936851;1.02083759
C57;Female genital organs, NOS;2.0;-;-;-;-;-;-;-;2.5803788;-;-;-;-;-;-;-;-;5.4884742;-;0.37798609;0.23551126;0.1822651;0.01290106
