icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.94218092;-;-;0.20421333;0.15884362;0.07942181;-
C01;Base of tongue;9.0;-;-;-;-;-;-;-;-;-;6.15706677;-;7.66753565;10.12555691;5.83090379;6.6370213;7.94218092;-;-;1.83791996;1.98851507;1.46823706;0.18192474
C02;Tongue;16.0;-;-;-;-;-;-;-;-;-;-;6.93553421;15.33507131;20.25111381;17.49271137;-;7.94218092;-;39.3236335;3.26741327;3.66993577;2.57104543;0.29962239
C03;Gum;5.0;-;-;-;-;-;-;-;-;-;3.07853339;-;-;5.06277845;-;6.6370213;15.88436185;-;-;1.02106665;0.98543414;0.67880719;0.07386437
C04;Floor of mouth;13.0;-;-;-;-;-;-;-;-;-;3.07853339;13.87106842;-;10.12555691;17.49271137;13.27404261;-;10.81899816;-;2.65477328;2.89886969;2.12764488;0.28879176
C05;Palate;2.0;-;-;-;-;-;-;-;-;-;-;-;-;5.06277845;5.83090379;-;-;-;-;0.40842666;0.48637507;0.37743825;0.05445358
C06;Mouth, NOS;3.0;-;-;-;-;-;-;-;-;-;-;-;-;5.06277845;5.83090379;-;-;10.81899816;-;0.61263999;0.59456506;0.43153324;0.05445358
C07;Parotid gland;5.0;-;-;-;-;-;-;2.24436664;-;-;-;3.4677671;7.66753565;-;-;-;-;-;19.66181675;1.02106665;1.05651967;0.71306086;0.06687598
C08;Salivary glands, NOS;2.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.94218092;10.81899816;-;0.40842666;0.2670336;0.1335168;-
C09;Tonsil;21.0;-;-;-;-;-;-;-;-;-;9.23560016;6.93553421;11.50130348;10.12555691;11.66180758;26.54808522;7.94218092;43.27599264;-;4.28847992;4.18285386;2.94260484;0.3793182
C10;Oropharynx;9.0;-;-;-;-;-;-;2.24436664;-;-;-;3.4677671;7.66753565;10.12555691;5.83090379;6.6370213;-;10.81899816;-;1.83791996;1.90671612;1.38153659;0.1797041
C11;Nasopharynx;13.0;-;-;3.43926262;-;-;-;4.48873328;2.37096048;2.65484376;6.15706677;13.87106842;3.83376783;-;5.83090379;-;-;-;-;2.65477328;2.77199769;2.27166114;0.21300585
C12;Pyriform sinus;6.0;-;-;-;-;-;-;-;-;-;6.15706677;6.93553421;3.83376783;-;-;-;7.94218092;-;-;1.22527998;1.30535176;0.94897324;0.08459604
C13;Hypopharynx;7.0;-;-;-;-;-;-;-;-;-;3.07853339;6.93553421;7.66753565;5.06277845;5.83090379;-;-;-;-;1.42949331;1.64741195;1.21562839;0.14277441
C14;Lip, oral cavity and pharynx, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C15;Oesophagus;52.0;-;-;-;-;-;-;-;-;-;6.15706677;24.27436973;26.83637479;60.75334143;23.32361516;59.73319174;47.65308554;32.45699448;39.3236335;10.61909313;11.17385846;7.81653743;1.00035265
C16;Stomach;73.0;-;-;-;-;-;2.35771208;-;-;2.65484376;9.23560016;20.80660263;34.50391044;20.25111381;64.13994169;46.45914913;79.42180923;140.64697609;157.29453401;14.90757305;14.06384685;9.26988158;0.99704063
C17;Small intestine;6.0;-;-;-;-;-;-;-;-;2.65484376;-;-;-;10.12555691;-;6.6370213;15.88436185;-;-;1.22527998;1.20891478;0.85589695;0.09704
C18;Colon;205.0;-;-;-;-;-;-;-;7.11288143;5.30968752;24.62826709;20.80660263;61.34028523;65.81611989;128.27988338;212.38468175;317.68723692;454.39792275;412.89815179;41.86373253;37.55068509;23.95907938;2.59415048
C19;Rectosigmoid junction;18.0;-;-;-;-;-;-;-;-;2.65484376;3.07853339;-;19.16883914;-;11.66180758;26.54808522;23.82654277;10.81899816;19.66181675;3.67583993;3.59572061;2.38224163;0.31506318
C20;Rectum;79.0;-;-;-;-;3.12793244;-;-;-;7.96453129;12.31413355;6.93553421;19.16883914;65.81611989;52.47813411;73.00723435;87.36399015;173.10397057;78.64726701;16.13285302;15.11902012;10.38001436;1.19684247
C21;Anus and anal canal;11.0;-;-;-;-;-;2.35771208;-;-;5.30968752;3.07853339;-;-;-;-;-;7.94218092;10.81899816;98.30908376;2.24634662;2.00233975;1.31697244;0.05371523
C22;Liver and intrahepatic bile ducts;35.0;-;-;-;-;-;-;-;-;2.65484376;-;6.93553421;7.66753565;30.37667072;52.47813411;19.91106391;39.71090461;75.73298713;-;7.14746653;6.89821738;4.77617487;0.5983218
C23;Gallbladder;4.0;-;-;-;-;-;-;-;-;-;-;-;-;-;5.83090379;-;-;10.81899816;39.3236335;0.81685332;0.73466247;0.42564027;0.02915027
C24;Biliary tract, NOS;9.0;-;-;-;-;-;-;-;-;-;-;3.4677671;11.50130348;15.18833536;-;-;-;10.81899816;19.66181675;1.83791996;1.99704682;1.39337798;0.1506734
C25;Pancreas;38.0;-;-;-;-;-;-;-;2.37096048;2.65484376;6.15706677;6.93553421;19.16883914;20.25111381;34.98542274;26.54808522;23.82654277;97.37098345;19.66181675;7.76010652;7.27369273;4.9985009;0.59359058
C26;Other ill-defined digestive organs;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;5.83090379;-;-;-;-;0.20421333;0.23323615;0.17492711;0.02915027
C30;Nasal cavity and middle ear;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C31;Accessory sinuses;6.0;-;-;-;-;-;-;-;-;-;3.07853339;3.4677671;-;-;-;-;15.88436185;10.81899816;19.66181675;1.22527998;1.08073642;0.66934805;0.03272615
C32;Larynx;52.0;-;-;-;-;-;-;-;2.37096048;-;3.07853339;20.80660263;26.83637479;55.69056298;40.81632653;53.09617044;31.76872369;75.73298713;-;10.61909313;10.85087991;7.65114265;1.00835928
C33;Trachea;2.0;-;-;-;-;-;-;-;-;-;-;-;-;-;11.66180758;-;-;-;-;0.40842666;0.4664723;0.34985423;0.05829204
C34;Bronchus and lung;355.0;-;-;-;-;-;-;-;7.11288143;15.92906257;27.70680048;124.83961577;149.51694525;202.51113811;326.53061224;384.94723568;476.53085537;411.12193011;196.61816752;72.49573194;71.60541848;48.66690092;6.00745493
C37;Thymus;2.0;-;-;-;-;-;-;-;-;-;-;3.4677671;-;-;-;-;7.94218092;-;-;0.40842666;0.40158732;0.25281016;0.01733733
C38;Heart, mediastinum and pleura;1.0;-;-;-;-;-;-;2.24436664;-;-;-;-;-;-;-;-;-;-;-;0.20421333;0.15710566;0.134662;0.0112212
C39;Respiratory system and intrathoracic organs, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;2.0;-;-;-;-;3.12793244;-;-;-;-;-;-;3.83376783;-;-;-;-;-;-;0.40842666;0.44898134;0.40358531;0.03480244
C41;Bone and articular cartilage, NOS;3.0;-;-;-;3.50042005;-;-;-;-;-;-;-;3.83376783;-;-;6.6370213;-;-;-;0.61263999;0.67416611;0.60112894;0.06983165
C43;Malignant melanoma of skin;56.0;-;-;-;-;3.12793244;2.35771208;6.73309992;9.4838419;5.30968752;9.23560016;3.4677671;26.83637479;30.37667072;40.81632653;13.27404261;71.47962831;64.91398896;78.64726701;11.43594645;10.80519037;7.66906872;0.7522516
C44;Malignant neoplasms of skin;153.0;-;-;-;-;-;-;2.24436664;2.37096048;10.61937505;6.15706677;10.40330131;19.16883914;50.62778453;69.97084548;119.46638349;238.26542769;454.39792275;491.5454188;31.2446394;26.51474179;16.19636017;1.44460855
C45;Mesothelioma;8.0;-;-;-;-;-;-;-;-;-;-;-;7.66753565;-;17.49271137;-;7.94218092;10.81899816;19.66181675;1.63370664;1.62341236;1.06330865;0.12572214
C46;Kaposi's sarcoma;3.0;-;-;-;-;-;-;-;-;5.30968752;-;3.4677671;-;-;-;-;-;-;-;0.61263999;0.61442182;0.49196961;0.04387764
C47,C49;Soft tissues;29.0;-;-;-;-;6.25586487;-;2.24436664;7.11288143;7.96453129;6.15706677;3.4677671;3.83376783;10.12555691;17.49271137;13.27404261;15.88436185;32.45699448;78.64726701;5.92218655;5.58713697;4.14558842;0.38888466
C48;Retroperitoneum and peritoneum;4.0;-;-;-;-;-;-;-;-;-;3.07853339;-;-;5.06277845;-;6.6370213;-;10.81899816;-;0.81685332;0.77593688;0.57405856;0.07386437
C50;Breast;8.0;-;-;-;-;-;-;-;-;-;3.07853339;-;3.83376783;5.06277845;11.66180758;6.6370213;15.88436185;-;-;1.63370664;1.68193251;1.18201213;0.15125504
C60;Penis;7.0;-;-;-;-;-;-;-;-;-;3.07853339;-;-;10.12555691;-;-;-;32.45699448;19.66181675;1.42949331;1.24296329;0.85032834;0.06599866
C61;Prostate;597.0;-;-;-;-;-;-;-;-;5.30968752;6.15706677;86.69417762;207.02346266;440.46172539;688.04664723;743.34638614;770.39154952;768.14886941;570.1926858;121.91535766;119.92926328;80.82607207;10.31368186
C62;Testis;22.0;-;-;-;3.50042005;6.25586487;14.14627246;6.73309992;11.85480238;2.65484376;3.07853339;3.4677671;-;5.06277845;-;-;7.94218092;-;-;4.49269325;4.03039482;3.86180686;0.28336966
C63;Male genital organs, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C64;Kidney;43.0;2.76992964;3.2403357;-;-;-;-;-;2.37096048;2.65484376;9.23560016;6.93553421;26.83637479;35.43944917;29.15451895;26.54808522;63.53744738;21.63799632;19.66181675;8.78117316;8.96072891;6.59738987;0.72329967
C65;Renal pelvis;7.0;-;-;-;-;-;-;-;-;-;-;-;7.66753565;10.12555691;11.66180758;-;7.94218092;-;-;1.42949331;1.59164591;1.14099974;0.14716611
C66;Ureter;6.0;-;-;-;-;-;-;-;-;-;-;-;-;-;11.66180758;-;23.82654277;-;19.66181675;1.22527998;1.13962133;0.68642874;0.05829204
C67;Bladder;122.0;-;-;-;-;-;-;-;-;2.65484376;3.07853339;6.93553421;23.00260696;75.94167679;87.46355685;146.01446871;230.32324676;183.92296873;275.26543453;24.91402619;23.14138936;14.79192125;1.71065536
C68;Urinary organs, NOS;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.6370213;-;-;-;0.20421333;0.19911064;0.13274043;0.0331796
C69;Eye and adnexa;4.0;-;-;-;-;-;-;-;2.37096048;-;-;-;-;-;-;-;15.88436185;10.81899816;-;0.81685332;0.59184445;0.35519624;0.0118541
C70;Meninges;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C71;Brain;30.0;8.30978893;3.2403357;-;-;6.25586487;7.07313623;2.24436664;2.37096048;5.30968752;3.07853339;3.4677671;11.50130348;-;23.32361516;13.27404261;15.88436185;43.27599264;-;6.12639988;5.74932001;5.14159459;0.44624835
C72;Spinal cord, cranial nerves and CNS, NOS;2.0;2.76992964;-;-;-;-;2.35771208;-;-;-;-;-;-;-;-;-;-;-;-;0.40842666;0.38663422;0.52100852;0.02563492
C73;Thyroid gland;22.0;-;-;-;-;3.12793244;2.35771208;4.48873328;2.37096048;5.30968752;6.15706677;3.4677671;15.33507131;20.25111381;-;13.27404261;15.88436185;-;-;4.49269325;4.55815866;3.55959867;0.37997669
C74;Adrenal gland;1.0;-;-;-;-;-;-;-;-;2.65484376;-;-;-;-;-;-;-;-;-;0.20421333;0.18583906;0.15929063;0.01327334
C75;Endocrine glands, NOS;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C81;Hodgkin's disease;28.0;-;3.2403357;3.43926262;3.50042005;9.38379731;7.07313623;11.2218332;2.37096048;13.27421881;3.07853339;6.93553421;3.83376783;-;11.66180758;6.6370213;-;10.81899816;-;5.71797322;5.45006123;5.09870951;0.42733745
C82-C85;Non-Hodgkin-lymphoma;79.0;-;-;3.43926262;3.50042005;6.25586487;4.71542415;2.24436664;4.74192095;7.96453129;18.47120032;17.33883552;30.67014262;30.37667072;34.98542274;59.73319174;63.53744738;108.18998161;176.95635077;16.13285302;15.47969488;11.12174268;1.11591325
C88;Malignant immunoproliferative diseases;2.0;-;-;-;-;-;-;-;-;-;-;-;-;-;5.83090379;-;7.94218092;-;-;0.40842666;0.39207977;0.25434892;0.02915027
C90;Multiple myeloma;30.0;-;-;-;-;-;-;-;2.37096048;-;12.31413355;10.40330131;7.66753565;20.25111381;23.32361516;33.18510652;15.88436185;32.45699448;39.3236335;6.12639988;6.19278682;4.39917403;0.54608235
C91;Lymphoid leukaemia;24.0;11.07971858;3.2403357;-;3.50042005;-;-;-;2.37096048;-;3.07853339;3.4677671;3.83376783;15.18833536;5.83090379;19.91106391;23.82654277;32.45699448;19.66181675;4.90111991;4.80016853;4.30188759;0.35687073
C92;Myeloid leukaemia;27.0;2.76992964;-;-;-;-;4.71542415;2.24436664;2.37096048;7.96453129;-;10.40330131;-;20.25111381;5.83090379;19.91106391;47.65308554;10.81899816;19.66181675;5.51375989;5.26148886;3.99670993;0.38157811
C93;Monocytic leukaemia;0.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C94-C95;Leukaemia other;2.0;2.76992964;-;-;-;-;-;-;-;-;-;-;-;5.06277845;-;-;-;-;-;0.40842666;0.47473329;0.5349027;0.03915587
C96;Lymphoid, haematopoietic and related tissue, NOS;1.0;-;-;-;-;-;-;2.24436664;-;-;-;-;-;-;-;-;-;-;-;0.20421333;0.15710566;0.134662;0.0112212
C76;Other and ill-defined sites;2.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.6370213;-;-;19.66181675;0.40842666;0.39572881;0.23104951;0.0331796
C80;Unknown primary site;60.0;-;-;-;-;-;2.35771208;-;-;2.65484376;3.07853339;6.93553421;19.16883914;35.43944917;58.3090379;79.64425566;87.36399015;75.73298713;58.98545026;12.25279976;11.79011981;7.95311618;1.03257301
