icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;34.0;-;-;-;-;-;-;0.28656744;-;0.24173216;-;0.54845158;0.89393465;2.58016004;1.34303302;4.38496056;1.81158326;3.78863221;1.83213939;0.65619229;0.53572618;0.37229424;0.05138099
C01;Base of tongue;97.0;-;-;-;-;-;-;-;-;0.48346431;4.25707739;3.2907095;5.36360792;7.37188584;5.37213206;3.89774272;3.01930544;1.8943161;1.83213939;1.87207801;1.68206658;1.24633188;0.15007038
C02;Tongue;151.0;-;-;-;-;-;-;0.57313488;0.77648995;0.72519647;3.75624476;5.75874163;11.32317228;8.84626301;7.16284275;5.84661408;7.24633305;2.84147416;3.66427878;2.91426577;2.60488635;1.88138812;0.22359316
C03;Gum;34.0;-;-;-;-;-;-;-;-;0.48346431;0.75124895;1.37112896;1.78786931;2.21156575;0.89535534;1.94887136;3.01930544;-;1.83213939;0.65619229;0.57324726;0.40780848;0.04723636
C04;Floor of mouth;163.0;-;-;-;-;-;-;-;0.25882998;1.20866078;5.25874266;10.69480589;10.1312594;9.95204588;7.61052043;4.38496056;3.01930544;2.84147416;3.66427878;3.14586305;2.88636388;2.12038315;0.2471931
C05;Palate;62.0;-;-;0.31778516;-;-;-;-;0.25882998;1.20866078;1.5024979;2.46803213;3.2777604;3.68594292;4.02909905;1.94887136;2.41544435;1.8943161;-;1.19658595;1.07075134;0.80222615;0.09344371
C06;Mouth, NOS;60.0;-;-;-;-;-;-;-;0.25882998;0.24173216;0.75124895;3.01648371;3.2777604;4.4231315;3.58142138;-;3.62316653;3.78863221;5.49641817;1.1579864;1.02517352;0.72406809;0.07772282
C07;Parotid gland;56.0;-;-;-;-;-;-;0.57313488;0.25882998;0.48346431;0.50083263;1.64535475;1.78786931;2.21156575;3.1337437;3.41052488;2.41544435;9.47158052;5.49641817;1.08078731;0.88581797;0.61243809;0.07000209
C08;Salivary glands, NOS;22.0;-;-;-;-;-;0.29397239;-;0.51765997;0.72519647;0.50083263;0.54845158;1.19191287;0.73718858;1.34303302;-;1.20772218;0.94715805;-;0.42459501;0.37674946;0.28982978;0.02928695
C09;Tonsil;195.0;-;-;-;-;-;-;0.28656744;0.51765997;1.45039294;3.75624476;7.95254797;15.79284554;15.11236597;7.16284275;5.84661408;7.85019414;5.68294831;1.83213939;3.7634558;3.37469484;2.44238271;0.28897208
C10;Oropharynx;104.0;-;-;-;-;-;-;-;0.25882998;1.69212509;2.25374685;6.03296742;7.15147723;5.89750867;2.68606603;5.35939624;4.22702761;-;1.83213939;2.00717643;1.8116874;1.3150908;0.15653794
C11;Nasopharynx;36.0;-;-;-;-;0.31251758;-;0.57313488;0.51765997;0.96692862;1.00166527;-;1.19191287;2.21156575;2.23838836;1.94887136;1.81158326;0.94715805;-;0.69479184;0.61183142;0.47368458;0.0547982
C12;Pyriform sinus;157.0;-;-;-;-;-;-;-;-;1.20866078;3.25541212;8.50099955;9.53530297;13.26939451;9.40123111;5.84661408;2.41544435;1.8943161;1.83213939;3.03006441;2.78016408;2.04683819;0.254763
