icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;1.33420501;-;-;-;-;0.05623079;0.0533682;0.04002615;0.0066708
C01;Base of tongue;10.0;-;-;-;-;-;-;-;0.82464705;-;0.77811929;0.81978636;1.72990927;3.10967836;2.66841003;-;-;-;-;0.56230794;0.53559356;0.4107911;0.04964043
C02;Tongue;23.0;-;-;-;-;-;-;-;0.82464705;0.78470146;-;3.27914545;3.45981853;5.18279726;1.33420501;-;3.88053137;4.83099567;2.01174861;1.29330825;1.00832982;0.719268;0.07429896
C03;Gum;15.0;-;-;-;-;-;-;-;-;-;0.77811929;2.45935909;0.86495463;1.03655945;5.33682006;2.6379656;1.29351046;-;4.02349722;0.84346191;0.68906569;0.49163218;0.0655474
C04;Floor of mouth;16.0;-;-;-;-;-;-;-;-;0.78470146;1.55623857;1.63957273;3.45981853;1.03655945;-;5.2759312;2.58702092;-;-;0.8996927;0.74807133;0.53367899;0.06874047
C05;Palate;14.0;-;-;-;-;-;-;-;-;-;3.11247714;3.27914545;1.72990927;1.03655945;-;1.3189828;1.29351046;-;2.01174861;0.78723111;0.68859329;0.51073815;0.05237165
C06;Mouth, NOS;7.0;-;-;-;-;-;-;-;-;-;0.77811929;0.81978636;0.86495463;1.03655945;1.33420501;1.3189828;-;1.61033189;-;0.39361556;0.32461965;0.2381945;0.03075831
C07;Parotid gland;13.0;-;-;-;-;0.95236281;-;0.92208391;0.82464705;1.56940292;-;-;1.72990927;2.0731189;-;-;2.58702092;3.22066378;-;0.73100032;0.59019233;0.46925171;0.04034948
C08;Salivary glands, NOS;4.0;-;-;-;-;-;-;-;-;-;-;0.81978636;-;-;-;2.6379656;1.29351046;-;-;0.22492317;0.16239422;0.10668373;0.01728727
C09;Tonsil;36.0;-;-;-;-;-;-;-;-;0.78470146;3.11247714;3.27914545;5.1897278;8.29247561;4.00261504;5.2759312;5.17404183;3.22066378;-;2.02430857;1.68242014;1.23051694;0.1495734
C10;Oropharynx;13.0;-;-;-;-;-;-;-;-;-;0.77811929;1.63957273;2.5948639;2.0731189;4.00261504;-;1.29351046;-;2.01174861;0.73100032;0.63467852;0.4584574;0.05542608
C11;Nasopharynx;5.0;-;0.99796415;-;-;-;-;-;-;-;0.77811929;-;-;-;1.33420501;1.3189828;1.29351046;-;-;0.28115397;0.24313373;0.22582448;0.0221439
C12;Pyriform sinus;9.0;-;-;-;-;-;-;-;-;0.78470146;-;0.81978636;3.45981853;-;-;2.6379656;1.29351046;-;-;0.50607714;0.42491244;0.29215856;0.03850395
C13;Hypopharynx;12.0;-;-;-;-;-;-;-;-;-;2.33435786;2.45935909;0.86495463;2.0731189;1.33420501;1.3189828;1.29351046;-;-;0.67476952;0.6099213;0.45989328;0.05191141
C14;Lip, oral cavity and pharynx, NOS;4.0;-;-;-;-;-;-;-;-;-;-;0.81978636;0.86495463;1.03655945;1.33420501;-;-;-;-;0.22492317;0.2144785;0.15707603;0.02027547
C15;Oesophagus;81.0;-;-;-;-;-;-;-;0.82464705;-;1.55623857;1.63957273;12.10936486;16.58495123;13.34205014;17.14677641;11.64159412;9.66199134;16.0939889;4.55469429;3.37571852;2.36099729;0.31551919
C16;Stomach;152.0;-;-;-;-;-;-;-;1.6492941;3.13880584;3.11247714;7.37807727;13.83927413;9.32903507;21.34728022;19.78474201;32.33776145;32.20663779;64.37595558;8.54708064;5.42632864;3.61207468;0.39710438
C17;Small intestine;30.0;-;-;-;-;-;-;0.92208391;-;0.78470146;1.55623857;1.63957273;0.86495463;5.18279726;1.33420501;5.2759312;10.34808366;6.44132756;2.01174861;1.68692381;1.15735748;0.81096114;0.08776389
C18;Colon;779.0;-;-;1.97476253;0.89661974;0.95236281;0.96734252;1.84416782;1.6492941;7.06231314;17.11862429;33.61124091;40.65286776;72.55916163;89.39173593;121.34641764;188.85252687;236.71878774;259.51557093;43.80378827;26.64795719;17.75988551;1.93124244
C19;Rectosigmoid junction;29.0;-;-;-;-;-;-;-;-;-;0.77811929;-;4.32477317;2.0731189;4.00261504;7.9138968;9.05457321;3.22066378;6.03524584;1.63069302;1.08878275;0.71778451;0.09541706
C20;Rectum;293.0;-;-;-;-;-;-;-;1.6492941;0.78470146;6.22495429;20.49465909;21.62386583;33.16990246;50.69979053;43.52643242;69.84956473;70.85460313;62.36420697;16.47562255;11.05964369;7.49213274;0.88691153
C21;Anus and anal canal;27.0;-;-;-;-;-;-;0.92208391;-;-;5.446835;3.27914545;2.5948639;-;6.67102507;1.3189828;3.88053137;3.22066378;2.01174861;1.51823143;1.26740158;0.94136475;0.10111353
C22;Liver and intrahepatic bile ducts;66.0;-;-;-;-;-;-;0.92208391;-;0.78470146;0.77811929;1.63957273;5.1897278;6.21935671;16.01046017;13.189828;19.40265687;12.88265512;8.04699445;3.71123238;2.5445278;1.73022148;0.2234193
C23;Gallbladder;22.0;-;-;-;-;-;-;-;-;-;-;-;0.86495463;2.0731189;4.00261504;2.6379656;11.64159412;4.83099567;4.02349722;1.23707746;0.7161736;0.45104911;0.0478818
C24;Biliary tract, NOS;32.0;-;-;-;-;-;-;-;-;-;0.77811929;0.81978636;2.5948639;1.03655945;2.66841003;6.594914;11.64159412;9.66199134;8.04699445;1.7993854;1.03387876;0.64984486;0.07243702
C25;Pancreas;196.0;-;-;-;-;0.95236281;-;-;2.47394115;2.35410438;4.66871571;6.55829091;9.51450096;26.95054575;26.68410028;38.25050121;58.20797061;33.81696968;46.27021807;11.02123556;7.28882673;4.98055979;0.59028624
C26;Other ill-defined digestive organs;6.0;-;-;-;-;-;-;-;-;-;-;0.81978636;-;1.03655945;-;2.6379656;2.58702092;-;-;0.33738476;0.2400924;0.16108122;0.02246903
C30;Nasal cavity and middle ear;7.0;-;-;-;-;-;-;-;-;-;-;0.81978636;1.72990927;1.03655945;1.33420501;-;1.29351046;-;2.01174861;0.39361556;0.31236347;0.21466806;0.02459927
C31;Accessory sinuses;4.0;-;-;-;-;-;-;-;-;-;0.77811929;-;0.86495463;-;2.66841003;-;-;-;-;0.22492317;0.21310203;0.16133764;0.0215551
C32;Larynx;40.0;-;-;-;-;-;-;-;-;1.56940292;3.11247714;8.19786364;8.64954633;3.10967836;6.67102507;5.2759312;1.29351046;1.61033189;-;2.24923175;2.04313122;1.48781111;0.18276241
C33;Trachea;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;1.33420501;-;-;-;-;0.05623079;0.0533682;0.04002615;0.0066708
C34;Bronchus and lung;652.0;-;-;-;1.79323949;0.95236281;-;0.92208391;6.59717641;19.61753651;32.68101;60.66419091;67.46646138;100.54626683;113.40742619;131.89828005;97.01328435;77.29593069;32.18797779;36.66247747;29.22958325;21.13810843;2.64706462
