icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;11;-;-;-;-;-;-;-;-;0.2571150152597761;0.2461592995290973;-;-;0.3117148681757823;-;0.4062365434144994;0.4258417827440393;1.613883703540323;1.807512019954933;0.1989983508463943;0.1057328346362786;0.07215518092757035;0.006105942211653836
C01;Base of tongue;38;-;-;-;-;0.3037888545945026;0.2886436059668406;0.2883040800793413;-;-;0.2461592995290973;1.043411119632302;1.734224339260527;3.740578418109387;1.645467559607062;0.4062365434144994;0.8516835654880786;2.689806172567205;-;0.6874488483784529;0.5649414001693979;0.4300796900720441;0.04847231747547864
C02;Tongue;76;-;-;-;0.3140220255048689;0.3037888545945026;-;0.8649122402380238;-;0.7713450457793285;0.9846371981163891;3.651938918713057;2.312299119014036;3.740578418109387;3.290935119214125;2.843655803901496;2.129208913720197;3.227767407080646;2.410016026606577;1.374897696756906;1.12402105934943;0.8396129830917044;0.09534508138079323
C03;Gum;25;-;-;-;-;-;-;0.2883040800793413;-;0.2571150152597761;0.2461592995290973;0.521705559816151;0.2890373898767545;0.9351446045273468;0.8227337798035311;1.624946173657998;2.555050696464236;0.5379612345134409;1.807512019954933;0.4522689791963506;0.3122428333227278;0.2170060715633146;0.02492262331087458
C04;Floor of mouth;48;-;-;-;-;-;-;0.2883040800793413;-;0.2571150152597761;0.4923185990581945;1.304263899540377;3.468448678521054;3.428863549933604;1.645467559607062;2.031182717072497;1.277525348232118;1.613883703540323;0.6025040066516442;0.8683564400569932;0.7179587777466011;0.5172148189419867;0.06455897221745444
C05;Palate;26;-;-;-;-;0.6075777091890052;-;-;0.2704778803189475;-;0.4923185990581945;1.565116679448453;0.578074779753509;1.246859472703129;-;2.437419260486996;0.4258417827440393;0.5379612345134409;0.6025040066516442;0.4703597383642046;0.3955558870625305;0.3043363388114428;0.03598274656115841
C06;Mouth, NOS;51;-;-;-;-;-;-;-;-;-;0.7384778985872917;1.825969459356529;2.023261729137281;1.558574340878911;0.4113668899017656;2.843655803901496;2.555050696464236;5.37961234513441;3.012520033258221;0.9226287175605552;0.6156224232745764;0.4156058813154;0.04699548427011813
C07;Parotid gland;41;-;-;-;0.3140220255048689;0.9113665637835079;0.2886436059668406;0.2883040800793413;0.5409557606378951;-;0.4923185990581945;0.7825583397242264;1.156149559507018;1.246859472703129;2.468201339410593;0.8124730868289989;0.4258417827440393;3.765728641594086;2.410016026606577;0.741721125882015;0.5783603039565999;0.4642384236239507;0.04649844828523708
C08;Salivary glands, NOS;19;-;-;-;0.3140220255048689;0.3037888545945026;0.2886436059668406;0.2883040800793413;-;0.2571150152597761;0.2461592995290973;1.565116679448453;0.2890373898767545;-;0.8227337798035311;0.4062365434144994;0.8516835654880786;-;0.6025040066516442;0.3437244241892264;0.3139178714902611;0.2573047123504663;0.02390292916196746
C09;Tonsil;68;-;-;-;-;-;-;-;-;0.5142300305195523;0.9846371981163891;3.391086138804981;4.046523458274562;2.80543381358204;3.290935119214125;1.624946173657998;2.980892479208275;2.151844938053764;1.807512019954933;1.230171623414074;1.004957043038998;0.7143973181643793;0.0832542840344952
C10;Oropharynx;38;-;-;-;-;-;-;-;-;-;0.4923185990581945;1.043411119632302;3.179411288644299;1.870289209054694;2.879568229312359;1.218709630243498;1.703367130976157;0.5379612345134409;-;0.6874488483784529;0.5829711911241842;0.414182408799636;0.05340427521763891
C11;Nasopharynx;15;0.325754120789628;-;-;0.3140220255048689;0.3037888545945026;-;0.2883040800793413;-;0.2571150152597761;0.4923185990581945;0.2608527799080755;-;0.3117148681757823;0.8227337798035311;-;-;2.151844938053764;-;0.2713613875178104;0.2302219684529714;0.2148723186284023;0.01688159551413992
C12;Pyriform sinus;25;-;-;-;-;-;-;-;-;-;-;1.565116679448453;2.023261729137281;1.558574340878911;0.8227337798035311;1.218709630243498;0.8516835654880786;-;-;0.4522689791963506;0.3953868997627819;0.279102318426927;0.03593552244142151
C13;Hypopharynx;12;-;-;-;-;-;-;-;0.2704778803189475;-;-;0.2608527799080755;0.578074779753509;0.9351446045273468;0.4113668899017656;-;0.8516835654880786;1.075922469026882;-;0.2170891100142483;0.1628824348235705;0.116037541882843;0.01227883076191372
C14;Lip, oral cavity and pharynx, NOS;2;-;-;-;-;-;-;-;-;-;-;0.2608527799080755;-;-;-;-;-;-;0.6025040066516442;0.03618151833570805;0.02428473466008173;0.016055159028662;0.001304255394052323
C15;Oesophagus;242;-;-;-;-;-;-;-;0.5409557606378951;0.5142300305195523;1.723115096703681;3.651938918713057;7.514972136795615;9.66316091344925;12.75237358695473;12.18709630243498;14.47862061329734;19.90456567699731;16.87011218624604;4.377963718620673;2.917200183790011;1.991393050323647;0.2424448403363533
C16;Stomach;547;-;-;-;-;0.3037888545945026;0.2886436059668406;0.2883040800793413;1.352389401594738;1.542690091558657;4.43086739152375;5.999613937885736;10.69438342543991;13.40373933155864;23.44791272440064;23.96795606145546;34.91902618501122;48.95447234072313;74.10799281815224;9.895645264816151;5.892251153637244;3.915454352510143;0.4276842593632035
C17;Small intestine;113;-;-;-;-;0.3037888545945026;-;-;0.5409557606378951;1.285575076298881;0.9846371981163891;2.347675019172679;2.023261729137281;4.675723022636734;4.113668899017656;7.718494324875489;6.387626741160589;6.993496048674733;7.832552086471376;2.044255785967505;1.409680690379142;0.9941027930557207;0.1198969655072823
C18;Colon;2628;-;0.6857910943168493;2.019053131383152;2.512176204038951;2.734099691350524;3.175079665635247;2.594736720714072;4.868601845741056;5.142300305195524;15.75419516986222;24.52016131135909;48.269244109418;73.87642375766039;111.8917940532802;142.9952632819038;179.7052323179846;265.2148886151264;267.5117789533301;47.54251509312038;28.75731047685245;19.43989366917901;2.181057931294761
C19;Rectosigmoid junction;129;-;-;-;-;-;-;-;0.5409557606378951;0.7713450457793285;1.230796497645486;1.565116679448453;1.734224339260527;4.052293286285169;5.759136458624718;7.718494324875489;8.090993872136746;11.8351471592957;12.05008013303289;2.333707932653169;1.456835541972946;0.989782432677275;0.1167935551386168
C20;Rectum;981;-;0.3428955471584246;-;0.3140220255048689;0.3037888545945026;-;1.153216320317365;2.975256683508423;5.913645350974852;9.846371981163891;13.04263899540377;27.45855203829167;35.2237801038634;43.19352343968539;54.43569681754292;62.59874206337378;75.31457283188173;69.89046477159074;17.7470347436648;11.8459676900104;8.176121549185623;0.9663177934320477
C21;Anus and anal canal;102;-;-;-;-;-;-;-;0.5409557606378951;1.542690091558657;1.723115096703681;2.347675019172679;3.468448678521054;6.234297363515645;2.879568229312359;4.062365434144994;6.813468523904628;2.689806172567205;4.820032053213153;1.84525743512111;1.39905375158489;1.007217481504335;0.1139306280908858
C22;Liver and intrahepatic bile ducts;192;-;-;-;-;0.6075777091890052;0.2886436059668406;0.5766081601586825;0.8114336409568426;0.7713450457793285;0.7384778985872917;3.912791698621132;4.046523458274562;6.546012231691427;11.10690602734767;11.37462321560598;14.47862061329734;11.29718592478226;10.8450721197296;3.473425760227973;2.406083392502335;1.681107743959175;0.2036969690242585
C23;Gallbladder;94;-;-;-;-;-;-;-;-;0.2571150152597761;-;2.086822239264604;0.578074779753509;2.182004077230476;4.113668899017656;4.062365434144994;9.368519220368864;9.145340986728495;10.24256811307795;1.700531361778278;0.9755274928539387;0.6254532805143266;0.066378212134377
C24;Biliary tract, NOS;120;-;-;-;-;-;-;-;-;0.2571150152597761;0.9846371981163891;0.7825583397242264;1.734224339260527;4.052293286285169;5.759136458624718;5.687311607802991;11.07188635134502;9.683302221241938;12.65258413968453;2.170891100142483;1.294151260602161;0.854012376043493;0.09624004076369541
C25;Pancreas;738;-;-;-;-;0.3037888545945026;-;0.8649122402380238;1.352389401594738;2.828265167857538;4.43086739152375;10.43411119632302;15.60801905334474;25.24890432223836;33.73208497194478;54.84193336095742;54.08190640849298;57.02389085842474;45.18780049887332;13.35098026587627;8.712226198411168;5.90955039252879;0.7454341346709081
C26;Other ill-defined digestive organs;14;-;-;-;-;-;-;-;-;0.2571150152597761;0.4923185990581945;-;0.578074779753509;0.3117148681757823;0.8227337798035311;-;1.277525348232118;0.5379612345134409;1.205008013303288;0.2532706283499563;0.1786201338312085;0.1267297158917606;0.01230902758728725
C30;Nasal cavity and middle ear;12;-;0.3428955471584246;-;-;-;-;-;-;0.2571150152597761;-;-;0.578074779753509;-;0.4113668899017656;1.218709630243498;0.4258417827440393;0.5379612345134409;1.205008013303288;0.2170891100142483;0.1556477187909082;0.1225279101900164;0.01403982363609169
C31;Accessory sinuses;16;-;-;-;-;0.3037888545945026;-;-;-;-;-;0.521705559816151;-;1.558574340878911;0.8227337798035311;0.4062365434144994;0.4258417827440393;0.5379612345134409;1.807512019954933;0.2894521466856644;0.2127813417468321;0.1615238883557024;0.01806356373437179
C32;Larynx;83;-;-;-;-;-;-;-;-;1.028460061039105;0.9846371981163891;2.86938057898883;4.624598238028072;5.299152758988298;6.993237128330015;2.437419260486996;1.703367130976157;1.075922469026882;1.205008013303288;1.501533010931884;1.293935691291837;0.9481887271604786;0.1211110274464633
C33;Trachea;3;-;-;-;-;-;-;-;-;-;-;0.2608527799080755;-;0.3117148681757823;-;0.4062365434144994;-;-;-;0.05427227750356207;0.04603253430478938;0.03363596459072505;0.004893901202240869
C34;Bronchus and lung;2215;-;-;-;-;0.6075777091890052;0.5772872119336812;2.018128560555389;4.598123965422108;11.31306067143015;28.30831944584619;54.77908378069585;94.22618909982195;109.1002038615238;121.3532325210208;118.2148341336193;116.6806484718668;95.21913850887906;63.26292069842264;40.07103155679666;30.58170011958033;21.70516749883186;2.688674131888913
C37;Thymus;17;-;-;-;-;-;-;-;0.2704778803189475;0.2571150152597761;0.4923185990581945;0.2608527799080755;0.578074779753509;0.9351446045273468;0.8227337798035311;0.4062365434144994;0.8516835654880786;1.075922469026882;-;0.3075429058535184;0.2439845597243341;0.1814692963072642;0.02011274702601318
C38;Heart, mediastinum and pleura;13;0.325754120789628;-;0.3365088552305254;-;-;-;0.2883040800793413;0.2704778803189475;-;-;-;0.578074779753509;0.3117148681757823;0.8227337798035311;0.4062365434144994;-;0.5379612345134409;1.205008013303288;0.2351798691821023;0.2015270569239304;0.1800163855080512;0.01669763032833282
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;25;-;0.3428955471584246;1.682544276152627;0.6280440510097378;-;0.2886436059668406;0.8649122402380238;0.8114336409568426;0.5142300305195523;0.2461592995290973;1.043411119632302;-;0.6234297363515645;0.4113668899017656;-;-;-;-;0.4522689791963506;0.4971853291950902;0.500986857445144;0.03727840206346755
C41;Bone and articular cartilage, NOS;26;-;-;0.6730177104610507;-;-;0.5772872119336812;-;0.2704778803189475;0.7713450457793285;0.4923185990581945;-;0.578074779753509;0.9351446045273468;2.056834449508828;1.218709630243498;0.4258417827440393;0.5379612345134409;0.6025040066516442;0.4703597383642046;0.4151091232943517;0.3553718079002121;0.03785888127418868
