icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C01;Base of tongue;4;-;-;-;-;2.596930428233827;-;-;-;-;2.839860278874279;-;-;3.83670963781461;-;-;5.321130208056191;-;-;0.7107939390600817;0.6788334355494217;0.5848257385843093;0.04635675365980418
C02;Tongue;8;-;-;-;-;-;-;2.078094802684898;-;-;-;3.082804118626302;6.790710308298248;7.67341927562922;4.918355301987015;-;-;6.060973392326807;-;1.421587878120163;1.409720452773888;1.035246603470752;0.1226416526163954
C03;Gum;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C04;Floor of mouth;6;-;-;-;-;-;-;-;-;-;-;3.082804118626302;6.790710308298248;3.83670963781461;-;10.34928848641656;-;-;-;1.066190908590122;1.125553043284963;0.7862227735041606;0.1202252342438093
C05;Palate;3;-;-;-;-;2.596930428233827;-;-;-;-;-;-;-;7.67341927562922;-;-;-;-;-;0.5330954542950612;0.5654560937578289;0.514691205283875;0.0513385657655574
C06;Mouth, NOS;4;-;-;-;-;-;-;-;-;-;-;3.082804118626302;-;3.83670963781461;-;-;5.321130208056191;-;5.584408331937231;0.7107939390600817;0.5698984576750676;0.3887419351841475;0.0345915845135325
C07;Parotid gland;1;-;-;-;-;-;-;-;-;-;-;-;-;3.83670963781461;-;-;-;-;-;0.1776984847650204;0.1918354818907305;0.1534683855125844;0.01918170826412657
C08;Salivary glands, NOS;2;-;-;-;-;-;-;2.078094802684898;-;-;-;-;-;-;4.918355301987015;-;-;-;-;0.3553969695300409;0.3422008482674235;0.2722363472207043;0.0349761324475395
C09;Tonsil;5;-;-;-;-;-;-;-;-;-;2.839860278874279;3.082804118626302;3.395355154149124;-;4.918355301987015;-;5.321130208056191;-;-;0.8884924238251021;0.9214646333145926;0.6611079899699093;0.07115654598213172
C10;Oropharynx;4;-;-;-;-;-;-;-;-;-;-;-;3.395355154149124;3.83670963781461;-;5.174644243208279;5.321130208056191;-;-;0.7107939390600817;0.65721872259705;0.4459867786232769;0.06201430835018895
C11;Nasopharynx;3;-;-;-;-;-;-;-;-;-;-;-;-;3.83670963781461;9.83671060397403;-;-;-;-;0.5330954542950612;0.5853039060496917;0.4485697036318053;0.06834373623125778
