icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRI
C00;Lip;3;-;-;-;-;-;-;-;-;-;2.751031636863824;3.216778717792003;-;-;-;6.874742197167606;-;-;-;0.5694901354817032;0.6239889907409361;0.4633956780447817;0.06419215077668738
C01;Base of tongue;8;-;-;-;-;-;-;-;-;-;2.751031636863824;3.216778717792003;3.721899657585231;-;11.8413262285376;6.874742197167606;8.13206473123526;11.38563133325743;-;1.518640361284542;1.597453627294833;1.105760255182959;0.141928078892295
C02;Tongue;17;-;-;-;-;-;-;-;2.188902265513845;-;2.751031636863824;12.86711487116801;3.721899657585231;13.16886879417058;17.76198934280639;13.74948439433521;8.13206473123526;11.38563133325743;-;3.227110767729652;3.527712546811432;2.561480687920829;0.3304991002019309
C03;Gum;2;-;-;-;-;-;-;-;-;-;-;-;-;4.389622931390194;-;-;-;-;14.90979573579842;0.3796600903211355;0.3685791039274939;0.2501338959345998;0.0219457062344719
C04;Floor of mouth;12;-;-;-;-;-;-;-;-;-;2.751031636863824;3.216778717792003;18.60949828792616;8.779245862780387;11.8413262285376;-;8.13206473123526;-;-;2.277960541926813;2.609573259006706;1.858011034298172;0.2257342398672257
C05;Palate;6;-;-;-;-;-;-;-;-;-;2.751031636863824;3.216778717792003;3.721899657585231;8.779245862780387;-;-;8.13206473123526;-;-;1.138980270963406;1.242664292044746;0.9072673022284069;0.09230215470528158
C06;Mouth, NOS;6;-;-;-;-;-;-;-;-;-;-;3.216778717792003;3.721899657585231;4.389622931390194;5.920663114268798;6.874742197167606;-;11.38563133325743;-;1.138980270963406;1.224894740088418;0.8573427334863204;0.1205458181772201
C07;Parotid gland;2;-;-;-;-;-;-;-;-;-;-;3.216778717792003;-;-;5.920663114268798;-;-;-;-;0.3796600903211355;0.4620010348161921;0.3384588293176641;0.04567677414412108
C08;Salivary glands, NOS;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.874742197167606;-;11.38563133325743;-;0.3796600903211355;0.3200985792476025;0.1944230006096393;0.03436780390264627
C09;Tonsil;12;-;-;-;-;-;-;-;-;-;2.751031636863824;3.216778717792003;3.721899657585231;8.779245862780387;17.76198934280639;6.874742197167606;8.13206473123526;22.77126266651486;-;2.277960541926813;2.387098758337179;1.691478139788525;0.2152963413131093
C10;Oropharynx;13;-;-;-;-;-;-;-;-;2.414933951556425;5.502063273727648;12.86711487116801;7.443799315170462;8.779245862780387;5.920663114268798;6.874742197167606;-;-;-;2.467790587087381;2.783546889286673;2.082412121564895;0.248703033207931
C11;Nasopharynx;8;-;-;-;-;-;-;-;-;4.82986790311285;2.751031636863824;3.216778717792003;3.721899657585231;4.389622931390194;-;-;8.13206473123526;11.38563133325743;-;1.518640361284542;1.475130212025711;1.078402615825857;0.09450132358150842
C12;Pyriform sinus;11;-;-;-;-;-;-;-;-;-;8.253094910591471;3.216778717792003;3.721899657585231;4.389622931390194;5.920663114268798;6.874742197167606;16.26412946247052;11.38563133325743;-;2.088130496766245;2.127893973079232;1.515169722746514;0.1617530461624161
C13;Hypopharynx;5;-;-;-;3.321928047038501;-;-;-;-;-;-;3.216778717792003;3.721899657585231;4.389622931390194;5.920663114268798;-;-;-;-;0.9491502258028387;1.137331124133511;0.9618932571101462;0.1028015852686193
C14;Lip, oral cavity and pharynx, NOS;2;-;-;-;-;-;-;-;-;-;-;-;3.721899657585231;-;-;-;8.13206473123526;-;-;0.3796600903211355;0.3859552740798191;0.2301966336157619;0.01860776682820475
C15;Oesophagus;41;-;-;-;-;-;-;-;-;-;-;19.30067230675202;33.49709691826708;21.94811465695097;17.76198934280639;27.49896878867042;40.6603236561763;56.92815666628715;59.63918294319368;7.783031851583277;7.972607116006917;5.25512106901309;0.5982376000220446
C16;Stomach;71;-;-;-;-;-;2.218820031507244;-;2.188902265513845;4.82986790311285;16.50618982118294;9.650336153376008;11.16569897275569;35.11698345112155;41.44464179988159;61.87267977450845;89.45271204358787;136.6275759990891;119.2783658863874;13.47793320640031;12.76545896810696;8.577676985882924;0.9207059069864965
C17;Small intestine;11;-;-;-;-;-;-;-;2.188902265513845;-;-;3.216778717792003;7.443799315170462;4.389622931390194;5.920663114268798;-;24.39619419370578;22.77126266651486;-;2.088130496766245;1.996969809421163;1.300948110380553;0.1157318107458671
C18;Colon;239;-;2.977608384945212;-;3.321928047038501;-;2.218820031507244;2.061685634174501;10.94451132756923;2.414933951556425;24.75928473177442;32.16778717792003;48.38469554860801;149.2471796672666;153.9372409709888;247.4907190980338;309.0184597869399;444.0396219970397;357.835097659162;45.36938079337569;43.80742747041518;29.36621907872477;3.342493811045311
C19;Rectosigmoid junction;24;-;-;-;-;-;-;-;-;-;-;3.216778717792003;7.443799315170462;8.779245862780387;29.60331557134399;20.62422659150282;32.52825892494104;45.54252533302972;44.72938720739526;4.555921083853626;4.466908486796602;2.886986893929545;0.3477308413879721
C20;Rectum;91;-;-;-;-;-;2.218820031507244;2.061685634174501;6.566706796541534;-;11.0041265474553;28.95100846012803;37.21899657585232;61.4547210394627;94.73060982830077;103.1211329575141;48.79238838741156;56.92815666628715;104.3685701505889;17.27453410961166;18.33371358718518;12.94870434078767;1.72164637851272
C21;Anus and anal canal;7;-;-;-;-;-;-;2.061685634174501;-;-;2.751031636863824;-;-;4.389622931390194;5.920663114268798;13.74948439433521;8.13206473123526;-;-;1.328810316123974;1.368323706567706;0.9982781821450281;0.1442582861118646
C22;Liver and intrahepatic bile ducts;56;2.398944464435648;-;-;-;-;2.218820031507244;-;2.188902265513845;4.82986790311285;13.75515818431912;12.86711487116801;22.33139794551139;17.55849172556077;35.52397868561279;54.99793757734085;97.58477677482313;34.15689399977229;44.72938720739526;10.63048252899179;10.73137007036992;7.486723255730162;0.8398068224083399
