icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;43.0;1;-;-;-;-;-;-;-;1;2;5;6;4;3;4;6;3;8
C01;Base of tongue;106.0;-;-;-;-;-;-;-;1;3;11;15;13;18;13;17;7;4;4
C02;Tongue;142.0;-;-;-;-;-;-;4;4;5;11;18;32;23;14;15;10;3;3
C03;Gum;26.0;-;-;-;-;-;-;-;-;1;3;2;3;1;3;7;2;2;2
C04;Floor of mouth;154.0;-;1;-;-;-;-;-;1;4;15;27;37;24;26;9;6;4;-
C05;Palate;71.0;-;-;-;-;-;-;-;-;-;4;12;15;17;6;7;6;3;1
C06;Mouth, NOS;53.0;-;-;-;-;-;-;-;-;-;5;8;13;14;8;2;2;1;-
C07;Parotid gland;72.0;-;-;-;1;-;-;-;2;1;2;6;8;9;6;11;13;8;5
C08;Salivary glands, NOS;9.0;-;-;-;-;-;2;-;-;-;-;1;1;2;-;1;1;1;-
C09;Tonsil;176.0;-;-;-;-;-;-;1;-;3;21;21;41;42;23;14;6;3;1
C10;Oropharynx;122.0;-;-;-;-;-;-;-;1;-;9;24;18;31;19;9;7;2;2
C11;Nasopharynx;47.0;-;-;1;-;-;-;3;2;2;5;4;10;6;4;5;2;2;1
C12;Pyriform sinus;156.0;-;-;-;-;-;-;-;-;1;9;24;28;34;23;23;9;4;1
C13;Hypopharynx;77.0;-;-;-;-;-;-;-;-;3;3;17;12;14;12;9;2;3;2
C14;Lip, oral cavity and pharynx, NOS;29.0;-;-;-;-;-;-;-;-;1;4;5;8;5;2;2;1;1;-
C15;Oesophagus;758.0;-;-;-;-;-;1;1;2;13;26;78;106;112;128;92;98;52;49
C16;Stomach;946.0;-;-;-;-;1;1;4;4;27;16;54;93;117;102;138;165;130;94
C17;Small intestine;173.0;-;-;-;-;1;1;-;4;11;9;6;21;21;27;25;16;17;14
C18;Colon;3100.0;-;-;2;7;7;6;12;21;25;65;139;240;353;391;513;552;451;316
C19;Rectosigmoid junction;159.0;-;-;-;-;1;-;-;1;1;5;8;8;19;24;30;32;23;7
C20;Rectum;1507.0;-;-;-;-;-;-;2;8;30;41;99;137;240;245;209;237;167;92
C21;Anus and anal canal;70.0;-;-;-;-;-;-;-;1;4;9;7;9;10;7;6;10;3;4
C22;Liver and intrahepatic bile ducts;507.0;2;-;1;1;1;-;3;5;10;16;29;55;88;82;82;65;58;9
C23;Gallbladder;29.0;-;-;-;-;-;-;-;-;-;-;-;2;4;6;7;4;2;4
C24;Biliary tract, NOS;165.0;-;-;-;-;-;-;-;-;2;4;7;16;27;19;26;34;16;14
C25;Pancreas;766.0;-;-;-;1;-;4;3;4;10;22;44;82;94;119;135;118;93;37
C26;Other ill-defined digestive organs;26.0;-;-;-;-;-;-;-;-;-;-;1;1;4;2;4;4;4;6
C30;Nasal cavity and middle ear;37.0;-;-;-;-;-;-;-;-;-;2;4;5;3;4;4;5;4;6
C31;Accessory sinuses;71.0;-;-;-;-;-;-;-;1;1;2;9;8;13;10;8;7;12;-
C32;Larynx;595.0;-;-;-;-;-;-;-;5;9;13;59;95;117;100;76;53;52;16
C33;Trachea;10.0;-;-;-;-;-;-;1;-;-;1;2;-;3;-;-;3;-;-
C34;Bronchus and lung;5578.0;-;-;-;1;2;2;6;12;39;121;309;573;801;897;938;918;629;330
C37;Thymus;22.0;-;-;-;-;-;-;1;-;3;2;5;2;-;2;5;1;-;1
C38;Heart, mediastinum and pleura;26.0;2;-;-;-;2;-;3;-;-;3;1;1;3;1;3;2;5;-
C39;Respiratory system and intrathoracic organs, NOS;1.0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-
C40;Bone and articular cartilage of limbs;31.0;-;3;4;4;1;1;2;3;1;2;1;2;1;1;3;1;-;1
C41;Bone and articular cartilage, NOS;27.0;-;1;-;2;3;-;1;2;2;3;1;2;3;2;3;2;-;-
C43;Malignant melanoma of skin;917.0;1;1;1;4;12;18;25;41;56;78;84;89;109;103;87;105;54;49
C44;Malignant neoplasms of skin;2851.0;-;-;-;2;2;7;6;13;15;40;80;95;201;273;417;564;586;550
C45;Mesothelioma;223.0;-;-;-;-;-;-;-;-;-;4;8;24;25;29;41;46;25;21
C46;Kaposi's sarcoma;32.0;-;-;-;1;1;3;1;3;6;3;1;3;-;4;1;1;3;1
C47,C49;Soft tissues;180.0;6;2;2;3;4;3;4;3;10;17;10;21;22;14;16;17;9;17
C48;Retroperitoneum and peritoneum;20.0;1;-;-;-;1;-;1;-;-;3;-;2;2;2;-;2;4;2
C50;Breast;75.0;-;-;-;-;-;-;-;1;4;4;5;8;6;10;12;4;14;7
C60;Penis;77.0;-;-;-;-;-;-;-;-;1;5;3;9;12;9;9;3;13;13
C61;Prostate;9036.0;-;-;-;-;-;-;-;2;11;85;441;880;1468;1712;1663;1488;815;471
C62;Testis;355.0;3;-;-;11;44;52;88;53;48;26;10;7;7;1;3;1;1;-
C63;Male genital organs, NOS;5.0;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;1
C64;Kidney;978.0;10;2;1;1;-;3;7;17;45;60;79;89;161;140;128;147;58;30
C65;Renal pelvis;130.0;-;-;-;-;-;-;1;-;-;4;3;13;13;16;22;31;13;14
C66;Ureter;112.0;-;-;-;-;-;-;-;-;-;3;3;15;12;15;15;19;27;3
C67;Bladder;1823.0;-;-;-;-;-;-;1;1;9;25;56;132;201;241;282;363;289;223
C68;Urinary organs, NOS;45.0;-;-;-;-;-;-;-;-;-;2;-;3;2;5;7;10;13;3
C69;Eye and adnexa;59.0;5;-;-;-;1;-;3;3;2;3;3;5;9;5;7;6;5;2
C70;Meninges;7.0;-;-;-;1;-;-;-;-;-;-;1;1;1;-;2;1;-;-
C71;Brain;447.0;8;7;11;3;8;11;8;21;27;32;51;42;56;43;50;40;16;13
C72;Spinal cord, cranial nerves and CNS, NOS;12.0;2;1;-;-;-;1;-;1;2;-;1;1;1;2;-;-;-;-
C73;Thyroid gland;232.0;-;-;-;2;2;1;14;20;27;21;17;27;23;24;21;12;17;4
C74;Adrenal gland;34.0;8;-;1;1;1;-;-;1;1;-;4;4;3;4;2;3;1;-
C75;Endocrine glands, NOS;12.0;-;-;-;-;1;2;1;1;-;1;-;2;1;-;-;1;1;1
C81;Hodgkin's disease;193.0;-;1;10;13;26;17;14;16;21;8;8;13;12;10;7;8;9;-
C82-C86;Non-Hodgkin-lymphoma;1027.0;4;6;8;8;5;13;16;27;31;48;71;84;129;132;129;139;101;76
C88;Malignant immunoproliferative diseases;124.0;-;-;-;-;-;2;2;1;2;10;11;9;15;13;19;18;15;7
C90;Multiple myeloma;420.0;-;-;-;-;-;-;1;4;9;20;27;45;45;54;65;66;54;30
C91;Lymphoid leukaemia;480.0;13;5;7;8;2;4;7;2;13;19;27;55;55;69;50;66;42;36
C92;Myeloid leukaemia;332.0;1;-;3;2;6;4;7;4;22;26;20;27;39;29;38;51;40;13
C93;Monocytic leukaemia;86.0;2;1;2;-;1;-;3;2;1;-;1;6;6;11;9;20;14;7
C94-C95;Leukaemia other;51.0;1;-;-;-;-;-;-;-;1;2;4;6;4;5;7;8;6;7
C96;Lymphoid, haematopoietic and related tissue, NOS;23.0;5;1;5;1;1;-;2;-;-;2;1;1;2;-;-;-;1;1
C76;Other and ill-defined sites;6.0;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;1;1
C80;Unknown primary site;478.0;1;-;-;-;-;1;2;4;7;18;34;54;61;62;49;66;70;49
MPD;Myeloproliferative Disorders;294.0;-;-;-;-;2;3;3;3;7;18;16;26;41;34;45;35;38;23
MDS;Myelodysplastic syndromes;388.0;2;1;1;-;2;1;-;-;3;2;8;21;30;54;45;89;75;54
Total;;37451.0;78;33;60;78;141;164;264;328;594;1057;2141;3525;5052;5457;5690;5838;4192;2759
Total excl. non-melanoma;;34600.0;78;33;60;76;139;157;258;315;579;1017;2061;3430;4851;5184;5273;5274;3606;2209
Total excl. non-melanoma and MDS, MPD;;33918.0;76;32;59;76;135;153;255;312;569;997;2037;3383;4780;5096;5183;5150;3493;2132
ICD10 - Version 2010;;;;;;;;;;;;;;;;;;;;
