icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.65755014089176;0.0549165707457231;0.0165755014089176;0.008287750704458799;-
C01;Base of tongue;6;-;-;-;-;-;-;-;-;0.807513101900078;0.77261243442452;-;1.67759902028217;0.886399092327329;1.18337593486699;-;-;-;-;0.329499424474339;0.3029197207706981;0.2328687347298655;0.02663395045252592
C02;Tongue;35;-;-;-;-;-;-;-;-;1.61502620380016;-;4.69803387282422;2.51639853042326;8.86399092327329;4.73350373946795;4.16741911734063;-;4.80007680122882;6.63020056356705;1.92207997610031;1.464763160099662;1.069523725371913;0.1328834935280243
C03;Gum;6;-;-;-;-;-;-;-;-;-;-;-;0.838799510141086;0.886399092327329;1.18337593486699;-;1.4318647174215;-;3.31510028178352;0.329499424474339;0.2037712597857764;0.1354033707278789;0.01454181526220344
C04;Floor of mouth;24;-;-;-;-;-;-;-;-;0.807513101900078;1.54522486884904;3.13202258188282;5.03279706084652;-;3.55012780460097;9.72397794046147;-;-;1.65755014089176;1.31799769789735;1.136201014141828;0.8083484334246661;0.1188875894351682
C05;Palate;18;-;-;-;-;-;-;-;-;0.807513101900078;0.77261243442452;1.56601129094141;3.35519804056434;2.65919727698199;3.55012780460097;1.38913970578021;1.4318647174215;1.60002560040961;1.65755014089176;0.988498273423016;0.7993936793104695;0.5785770635627547;0.070474153570943
C06;Mouth, NOS;10;-;-;-;-;-;-;-;-;0.807513101900078;0.77261243442452;1.56601129094141;0.838799510141086;0.886399092327329;-;1.38913970578021;-;3.20005120081921;1.65755014089176;0.549165707457231;0.4051277077239682;0.294186841649442;0.03129747699510688
C07;Parotid gland;18;-;-;-;-;0.870746403817352;-;0.920242575943019;0.858000858000858;2.42253930570023;0.77261243442452;3.13202258188282;0.838799510141086;0.886399092327329;2.36675186973398;-;-;1.60002560040961;3.31510028178352;0.988498273423016;0.8668007500199382;0.6892506814453684;0.065319230855998
C08;Salivary glands, NOS;4;-;-;-;-;-;-;-;-;-;-;0.783005645470704;-;0.886399092327329;-;-;-;1.60002560040961;1.65755014089176;0.219666282982892;0.1317061072123294;0.09089412467313521;0.008346675334658382
C09;Tonsil;30;-;-;-;-;-;-;-;-;0.807513101900078;0.77261243442452;7.04705080923633;3.35519804056434;6.20479364629131;3.55012780460097;2.77827941156042;2.863729434843;-;1.65755014089176;1.64749712237169;1.414657493574319;1.028554207537645;0.1225027802509882
C10;Oropharynx;31;-;-;-;-;-;-;0.920242575943019;0.858000858000858;-;3.8630621721226;0.783005645470704;7.54919559126978;7.97759183094597;1.18337593486699;4.16741911734063;1.4318647174215;-;-;1.70241369311742;1.502528019894416;1.131868423093191;0.1364163368373972
C11;Nasopharynx;4;-;-;-;-;-;-;-;0.858000858000858;-;0.77261243442452;-;1.67759902028217;-;-;-;-;-;-;0.219666282982892;0.2147988716867067;0.1649407583568095;0.01653969360537744
C12;Pyriform sinus;9;-;-;-;-;-;-;-;-;-;-;0.783005645470704;1.67759902028217;1.77279818465466;3.55012780460097;1.38913970578021;-;-;-;0.494249136711508;0.4277855489900576;0.3114527987246417;0.04585283617641878
C13;Hypopharynx;10;-;-;-;-;-;-;-;-;0.807513101900078;-;0.783005645470704;1.67759902028217;1.77279818465466;1.18337593486699;2.77827941156042;-;1.60002560040961;-;0.549165707457231;0.4473158385112062;0.3246839508642792;0.04500272722730569
C14;Lip, oral cavity and pharynx, NOS;3;-;-;-;-;-;-;-;-;-;-;-;0.838799510141086;0.886399092327329;-;1.38913970578021;-;-;-;0.164749712237169;0.1363221163982379;0.0967907382143408;0.01557047921628696
C15;Oesophagus;99;-;-;-;-;-;-;-;0.858000858000858;-;1.54522486884904;3.91502822735352;13.4207921622574;14.1823854772373;17.7506390230048;20.8370955867032;5.72745886968599;14.4002304036865;26.5208022542682;5.43674050382659;3.815542512886104;2.6552128949693;0.361889427113693
C16;Stomach;149;-;-;-;-;-;0.940150047947652;1.84048515188604;2.57400257400257;-;0.77261243442452;8.61306210017774;8.38799510141086;11.5231882002553;22.4841427624728;22.2262352924834;22.909835478744;54.4008704139266;38.1236532405105;8.18256904111274;5.060855693080778;3.424308412313611;0.3960231202638109
C17;Small intestine;40;-;-;-;-;0.870746403817352;-;0.920242575943019;-;2.42253930570023;-;3.13202258188282;1.67759902028217;2.65919727698199;5.91687967433494;9.72397794046147;5.72745886968599;9.60015360245764;6.63020056356705;2.19666282982892;1.553051610021277;1.110711914754951;0.1365227466891272
C18;Colon;809;-;-;1.92942175230084;1.8839310104464;2.61223921145206;4.70075023973826;4.60121287971509;3.43200343200343;9.69015722280094;13.9070238196414;18.7921354912969;47.8115720780419;62.0479364629131;120.704345356433;120.855154402878;183.278683829952;235.203763260212;237.029670147522;44.42750573329;27.12124885900588;18.39223931628391;2.043667579589592
C19;Rectosigmoid junction;39;-;-;-;-;-;-;1.84048515188604;0.858000858000858;0.807513101900078;3.09044973769808;1.56601129094141;0.838799510141086;5.31839455396398;4.73350373946795;1.38913970578021;5.72745886968599;9.60015360245764;11.6028509862423;2.1417462590832;1.44521347216936;1.053452776020378;0.1021592700997442
C20;Rectum;340;-;-;-;-;0.870746403817352;1.8803000958953;1.84048515188604;4.29000429000429;4.84507861140047;8.49873677866971;14.0941016184727;32.7131808955024;36.3423627854205;47.3350373946795;50.0090294080876;64.4339122839674;70.4011264180227;82.8775070445881;18.6716340535459;12.53740765784664;8.686432838210058;1.008475751660098
C21;Anus and anal canal;42;-;-;-;-;-;-;-;-;1.61502620380016;1.54522486884904;3.91502822735352;3.35519804056434;5.31839455396398;5.91687967433494;4.16741911734063;8.59118830452899;8.00012800204803;6.63020056356705;2.30649597132037;1.642325973372597;1.152228477957987;0.1290824702472992
C22;Liver and intrahepatic bile ducts;93;0.990746428359126;0.984348853233586;-;-;1.7414928076347;0.940150047947652;0.920242575943019;0.858000858000858;-;5.40828704097164;5.48103951829493;7.54919559126978;9.75039001560062;13.0171352835369;15.2805367635823;14.318647174215;17.6002816045057;14.9179512680259;5.10724107935225;3.753737056125356;2.830985543740097;0.3141134570718518
C23;Gallbladder;13;-;-;-;-;-;-;-;-;-;-;1.56601129094141;-;-;-;2.77827941156042;4.29559415226449;6.40010240163843;3.31510028178352;0.7139154196944;0.3760330825922206;0.2253981077180335;0.02171909457560073
C24;Biliary tract, NOS;36;-;-;-;-;-;-;-;-;-;0.77261243442452;0.783005645470704;1.67759902028217;2.65919727698199;7.10025560920193;11.1131176462417;5.72745886968599;11.2001792028672;6.63020056356705;1.97699654684603;1.252765799472086;0.8406753889594959;0.120456331212071
C25;Pancreas;239;-;-;-;-;-;-;2.76072772782906;3.43200343200343;0.807513101900078;2.31783730327356;7.83005645470704;17.6147897129628;21.2735782158559;35.5012780460097;44.4524705849667;67.2976417188104;70.4011264180227;33.1510028178352;13.1250604082278;8.456035321074658;5.650947250235487;0.6776448347425523
C26;Other ill-defined digestive organs;12;-;-;-;-;-;-;-;-;-;-;-;-;0.886399092327329;1.18337593486699;4.16741911734063;4.29559415226449;3.20005120081921;3.31510028178352;0.658998848948677;0.3677409634025821;0.229837323021574;0.03118110840428789
C30;Nasal cavity and middle ear;6;-;-;-;-;-;-;-;-;0.807513101900078;-;-;0.838799510141086;0.886399092327329;1.18337593486699;-;-;1.60002560040961;1.65755014089176;0.329499424474339;0.2310846371655303;0.1692478869652579;0.01857871213966078
C31;Accessory sinuses;5;-;-;-;-;-;-;-;0.858000858000858;-;-;0.783005645470704;0.838799510141086;-;1.18337593486699;1.38913970578021;-;-;-;0.274582853728616;0.2542076544195604;0.187466386320844;0.02525841779569271
C32;Larynx;39;-;-;-;-;-;-;-;-;0.807513101900078;-;4.69803387282422;3.35519804056434;7.97759183094597;7.10025560920193;13.8913970578021;1.4318647174215;1.60002560040961;1.65755014089176;2.1417462590832;1.747544950075443;1.25810620992845;0.1889711717887321
C33;Trachea;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1.18337593486699;-;-;-;-;0.0549165707457231;0.0473350373946796;0.0355012780460097;0.00591670463045979
C34;Bronchus and lung;870;-;-;-;0.941965505223199;0.870746403817352;-;3.68097030377207;4.29000429000429;9.69015722280094;33.2223346802543;74.3855363197169;109.882735828482;144.483052049355;158.572375272176;148.637948518482;117.412906828563;104.001664026624;44.7538538040776;47.7774165487791;37.35068356428768;26.74918981465876;3.384682522450855
C37;Thymus;3;-;-;-;-;-;-;-;-;-;0.77261243442452;-;-;-;1.18337593486699;1.38913970578021;-;-;-;0.164749712237169;0.1430920989778023;0.1096408182270851;0.01672424171811349
C38;Heart, mediastinum and pleura;3;-;-;-;-;-;-;-;-;-;0.77261243442452;-;-;-;-;1.38913970578021;1.4318647174215;-;-;0.164749712237169;0.1243943559315527;0.08845818735529039;0.01080817657552746
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.38913970578021;-;-;-;0.0549165707457231;0.0416741911734063;0.0277827941156042;0.006945457320850501
C40;Bone and articular cartilage of limbs;7;-;-;0.964710876150418;0.941965505223199;-;-;0.920242575943019;0.858000858000858;-;0.77261243442452;-;-;-;1.18337593486699;-;1.4318647174215;-;-;0.384415995220062;0.3879995892250506;0.3744721516459541;0.0282005638163163
C41;Bone and articular cartilage, NOS;14;-;-;0.964710876150418;0.941965505223199;-;-;1.84048515188604;-;1.61502620380016;-;0.783005645470704;-;0.886399092327329;1.18337593486699;2.77827941156042;2.863729434843;1.60002560040961;-;0.768831990440123;0.6784417558359512;0.5812420902591221;0.05495113543665386
C43;Malignant melanoma of skin;451;-;-;0.964710876150418;0.941965505223199;9.57821044199087;27.2643513904819;25.7667921264045;31.7460317460317;29.8779847703029;31.6771098114053;36.8012653371231;40.2623764867721;31.9103673237839;35.5012780460097;33.339352938725;42.9559415226449;56.0008960143362;26.5208022542682;24.7673734063211;21.73911801889457;17.56404725417277;1.66415633444883
C44;Malignant neoplasms of skin;687;-;-;-;0.941965505223199;1.7414928076347;1.8803000958953;0.920242575943019;4.29000429000429;7.2676179171007;11.5891865163678;13.311095973002;22.6475867738093;35.4559636930932;66.2690523525514;104.185477933516;138.890877589885;209.603353653658;346.427979446378;37.7276841023118;20.18204410367079;13.04908679368953;1.343394747268745
C45;Mesothelioma;12;-;-;-;-;-;-;-;0.858000858000858;-;1.54522486884904;-;-;1.77279818465466;2.36675186973398;1.38913970578021;4.29559415226449;1.60002560040961;-;0.658998848948677;0.4951221151243773;0.3648468907294969;0.03965171406424828
C46;Kaposi's sarcoma;4;-;-;-;0.941965505223199;-;-;0.920242575943019;0.858000858000858;-;-;-;-;-;-;-;-;1.60002560040961;-;0.219666282982892;0.2064148817457914;0.1994716295087686;0.01360011979568698
C47,C49;Soft tissues;40;6.93522499851388;-;-;0.941965505223199;-;1.8803000958953;0.920242575943019;2.57400257400257;1.61502620380016;0.77261243442452;1.56601129094141;1.67759902028217;1.77279818465466;3.55012780460097;5.55655882312084;4.29559415226449;6.40010240163843;4.97265042267529;2.19666282982892;1.971366386112977;1.954112099242797;0.1487016768870975
C48;Retroperitoneum and peritoneum;19;-;-;-;-;-;-;-;-;-;0.77261243442452;3.13202258188282;2.51639853042326;2.65919727698199;2.36675186973398;2.77827941156042;4.29559415226449;1.60002560040961;-;1.04341484416874;0.8371988230015668;0.5875059213037429;0.07110102176079991
C50;Breast;3507;-;-;-;-;-;19.7431510069007;33.1287327339487;78.0780780780781;172.807803806617;262.688227704337;321.032314642989;345.585398178127;422.812367040136;500.568020448736;404.239654382041;442.446197683243;406.40650250404;379.578982264213;192.592413605251;152.8579130515534;112.6253720625875;12.01767002415632
C51;Vulva;68;-;-;-;-;-;0.940150047947652;1.84048515188604;-;1.61502620380016;3.8630621721226;4.69803387282422;3.35519804056434;9.75039001560062;4.73350373946795;6.94569852890105;5.72745886968599;22.4003584057345;16.5755014089176;3.73432681070917;2.497823285600528;1.80652460192433;0.1885297977591849
C52;Vagina;19;-;-;-;-;-;-;-;0.858000858000858;-;0.77261243442452;-;0.838799510141086;1.77279818465466;1.18337593486699;1.38913970578021;4.29559415226449;6.40010240163843;8.28775070445881;1.04341484416874;0.5749104529853227;0.3819799845520975;0.03406782873623948
C53;Cervix uteri;241;-;-;-;-;0.870746403817352;6.58105033563357;15.6441237910313;23.1660231660232;23.4178799551023;32.4497222458298;14.8771072639434;20.9699877535271;20.3871791235286;11.8337593486699;12.5022573520219;17.182376609058;22.4003584057345;9.94530084535057;13.2348935497193;11.98354616188418;9.613560716761206;0.9093394558987833
C54;Corpus uteri;450;-;-;-;-;0.870746403817352;0.940150047947652;1.84048515188604;0.858000858000858;6.46010481520063;7.7261243442452;7.04705080923633;40.2623764867721;54.9567437242944;87.5698191801572;105.574617639296;90.2074771975544;86.4013824221188;67.9595557765622;24.7124568355754;16.9833563678675;11.73153836636522;1.558262568656121
C55;Uterus;6;-;-;-;-;-;-;-;-;-;-;-;0.838799510141086;-;1.18337593486699;-;2.863729434843;1.60002560040961;1.65755014089176;0.329499424474339;0.1875133541130185;0.11397843150659;0.01011036609307459
C56;Ovary;264;-;0.984348853233586;-;2.8258965156696;1.7414928076347;1.8803000958953;1.84048515188604;8.58000858000858;5.65259171330055;10.0439616475188;18.7921354912969;27.6803838346558;31.0239682314565;39.0514058506106;43.0633308791865;44.3878062400664;33.6005376086017;26.5208022542682;14.4979746768709;11.2188325854333;8.27460624160526;0.961152663480036
C57;Female genital organs, NOS;32;-;-;-;-;-;-;-;-;0.807513101900078;-;3.13202258188282;3.35519804056434;3.54559636930932;7.10025560920193;5.55655882312084;5.72745886968599;3.20005120081921;4.97265042267529;1.75733026386314;1.301342381454497;0.9033606331558991;0.1174167351742361
C58;Placenta;2;-;-;-;-;-;-;-;0.858000858000858;-;0.77261243442452;-;-;-;-;-;-;-;-;0.109833141491446;0.1141429304697765;0.09783679754552267;0.008152734108690662
C64;Kidney;174;-;-;0.964710876150418;-;-;0.940150047947652;0.920242575943019;4.29000429000429;-;10.0439616475188;8.61306210017774;17.6147897129628;20.3871791235286;39.0514058506106;27.7827941156042;28.63729434843;32.0005120081921;8.28775070445881;9.55548330975582;7.251464118183792;5.243032666843816;0.6509138197556164
C65;Renal pelvis;29;-;-;-;-;-;-;-;-;0.807513101900078;-;0.783005645470704;0.838799510141086;4.43199546163665;-;2.77827941156042;12.8867824567935;12.8002048032769;3.31510028178352;1.59258055162597;0.8855011383395391;0.5634428054830949;0.04818635229995039
C66;Ureter;19;-;-;-;-;-;-;-;-;-;-;-;-;0.886399092327329;4.73350373946795;5.55655882312084;1.4318647174215;11.2001792028672;3.31510028178352;1.04341484416874;0.5741469580836468;0.3754872969370171;0.05586669702080105
C67;Bladder;158;-;-;-;-;-;-;-;2.57400257400257;0.807513101900078;2.31783730327356;3.13202258188282;5.8715965709876;18.6143809388739;11.8337593486699;26.393654409824;35.7966179355374;43.2006912110594;62.986905353887;8.67681817782425;4.944179461078811;3.249791439075857;0.3570847647011766
C68;Urinary organs, NOS;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2.36675186973398;-;-;-;-;0.109833141491446;0.09467007478935921;0.0710025560920194;0.01183305918698307
C69;Eye and adnexa;19;0.990746428359126;-;-;-;-;-;-;0.858000858000858;0.807513101900078;0.77261243442452;-;2.51639853042326;2.65919727698199;1.18337593486699;2.77827941156042;4.29559415226449;4.80007680122882;-;1.04341484416874;0.7984684083450774;0.6302241791648395;0.06281088558188763
C70;Meninges;5;-;-;-;-;-;-;-;0.858000858000858;-;0.77261243442452;-;0.838799510141086;0.886399092327329;1.18337593486699;-;-;-;-;0.274582853728616;0.2561258930892877;0.2023460196902689;0.02269336381537368
C71;Brain;105;2.97223928507738;0.984348853233586;3.85884350460167;-;2.61223921145206;0.940150047947652;1.84048515188604;1.71600171600172;4.84507861140047;3.09044973769808;6.26404516376563;9.22679461155195;9.75039001560062;15.3838871532709;16.6696764693625;25.773564913587;1.60002560040961;8.28775070445881;5.76623992830093;4.839316101670557;3.950485886637924;0.3999711238745429
C72;Spinal cord, cranial nerves and CNS, NOS;8;-;-;-;-;-;0.940150047947652;0.920242575943019;0.858000858000858;-;-;-;0.838799510141086;-;2.36675186973398;1.38913970578021;1.4318647174215;-;-;0.439332565965785;0.4055970746520677;0.3285625876599268;0.03655873850174629
C73;Thyroid gland;254;-;-;1.92942175230084;7.53572404178559;9.57821044199087;14.1022507192148;15.6441237910313;19.7340197340197;25.0329061589024;18.5426984261885;25.0561806550625;18.4535892231039;23.0463764005106;27.2176465019407;9.72397794046147;7.15932358710749;8.00012800204803;4.97265042267529;13.9488089694137;13.51376112812737;11.54379864053259;1.072196185648289
