icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;21;-;-;-;-;-;-;-;-;-;1;-;-;2;2;4;3;4;5
C01;Base of tongue;32;-;-;-;-;-;-;-;-;1;-;3;8;8;7;2;-;2;1
C02;Tongue;87;-;-;-;-;-;1;1;4;4;3;6;14;14;13;9;5;3;10
C03;Gum;33;-;-;-;-;-;-;1;1;-;-;1;1;2;3;7;7;4;6
C04;Floor of mouth;44;-;-;-;-;-;-;-;-;-;1;2;10;9;11;3;2;4;2
C05;Palate;30;-;-;-;-;-;-;-;-;1;2;2;4;8;4;2;1;1;5
C06;Mouth, NOS;30;-;-;-;-;-;-;-;-;-;2;2;2;5;5;2;1;1;10
C07;Parotid gland;47;1;-;1;-;-;3;2;1;4;2;3;2;4;9;3;5;3;4
C08;Salivary glands, NOS;18;-;-;-;1;-;-;1;1;-;-;-;3;1;3;2;1;3;2
C09;Tonsil;70;-;-;-;-;-;-;-;-;1;1;8;23;10;9;4;8;2;4
C10;Oropharynx;46;-;-;-;-;-;-;-;-;3;2;5;5;10;9;4;2;3;3
C11;Nasopharynx;12;-;-;-;1;-;1;1;-;-;1;1;2;1;2;1;-;-;1
C12;Pyriform sinus;30;-;-;-;-;-;-;-;-;-;3;3;10;3;6;3;-;1;1
C13;Hypopharynx;12;-;-;-;-;-;-;-;-;-;-;2;1;4;3;1;1;-;-
C14;Lip, oral cavity and pharynx, NOS;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1
C15;Oesophagus;261;-;-;-;-;1;-;-;-;4;5;17;26;38;46;27;24;38;35
C16;Stomach;555;-;-;-;-;1;1;4;12;14;18;27;36;47;55;71;73;95;101
C17;Small intestine;165;-;-;-;-;-;1;1;3;4;9;21;10;21;20;26;13;22;14
C18;Colon;2807;-;1;4;8;12;7;17;26;32;56;124;164;258;310;360;431;491;506
C19;Rectosigmoid junction;116;-;-;-;-;1;1;-;-;4;2;7;9;16;16;10;15;20;15
C20;Rectum;960;-;-;-;-;1;1;4;12;18;40;59;94;87;128;123;136;142;115
C21;Anus and anal canal;108;-;-;-;-;-;-;1;1;1;4;13;18;11;13;9;14;9;14
C22;Liver and intrahepatic bile ducts;255;2;-;-;-;2;1;1;2;8;9;11;24;22;39;36;49;27;22
C23;Gallbladder;69;-;-;-;-;-;1;-;-;-;-;1;-;9;6;6;20;13;13
C24;Biliary tract, NOS;132;-;-;-;-;-;-;-;1;1;2;3;7;15;20;13;24;20;26
C25;Pancreas;818;-;-;-;-;1;3;2;6;14;24;42;62;79;110;110;125;123;117
C26;Other ill-defined digestive organs;15;-;-;-;-;-;-;-;-;-;-;1;2;1;2;6;-;1;2
C30;Nasal cavity and middle ear;13;-;-;-;-;-;-;1;1;1;-;-;2;1;1;4;1;1;-
C31;Accessory sinuses;17;-;-;-;-;-;1;-;1;1;1;2;2;1;3;2;-;1;2
C32;Larynx;96;-;-;-;-;-;-;-;1;4;3;8;21;18;11;13;9;6;2
C33;Trachea;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-
C34;Bronchus and lung;2491;-;-;1;1;1;4;6;19;37;87;221;343;408;421;352;269;202;119
C37;Thymus;23;-;-;-;-;-;-;-;1;-;1;2;2;4;4;5;3;-;1
C38;Heart, mediastinum and pleura;7;-;-;-;-;-;-;-;-;1;-;1;-;2;1;2;-;-;-
C39;Respiratory system and intrathoracic organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;38;1;3;3;3;1;4;4;2;2;2;4;1;1;4;-;1;1;1
C41;Bone and articular cartilage, NOS;29;-;-;4;2;2;1;2;-;1;2;4;1;1;5;1;1;1;1
C43;Malignant melanoma of skin;1553;-;1;3;6;23;51;74;108;154;166;172;139;129;129;129;105;84;80
C44;Malignant neoplasms of skin;2511;-;-;-;1;5;10;4;7;29;48;74;96;159;189;262;383;496;748
C45;Mesothelioma;44;-;-;-;-;1;-;1;1;1;1;4;3;2;4;7;9;6;4
