icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;6;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;1;-
C01;Base of tongue;42;-;-;-;-;-;-;1;-;-;2;8;3;9;11;2;2;3;1
C02;Tongue;65;-;-;-;-;1;1;-;1;3;5;7;16;9;4;5;8;2;3
C03;Gum;18;-;-;-;-;-;-;-;1;1;1;2;1;6;1;2;1;2;-
C04;Floor of mouth;53;-;-;-;-;-;-;-;-;4;4;8;10;11;6;5;4;-;1
C05;Palate;27;-;-;-;-;-;-;-;-;1;1;5;6;7;4;1;1;1;-
C06;Mouth, NOS;22;-;-;-;-;-;-;-;-;-;2;2;5;4;4;1;2;-;2
C07;Parotid gland;20;-;-;-;-;1;2;2;1;2;1;-;1;-;2;2;3;-;3
C08;Salivary glands, NOS;9;-;-;-;-;-;-;-;-;1;-;2;3;1;2;-;-;-;-
C09;Tonsil;58;-;-;-;-;-;-;-;-;-;5;4;19;14;12;2;1;1;-
C10;Oropharynx;53;-;-;-;-;-;-;-;-;1;2;8;12;14;5;8;2;-;1
C11;Nasopharynx;19;-;-;-;-;-;-;1;2;2;2;2;4;2;2;-;1;-;1
C12;Pyriform sinus;93;-;-;-;-;-;-;-;-;1;7;14;22;22;20;3;2;-;2
C13;Hypopharynx;35;-;-;-;-;-;-;-;-;-;1;5;5;14;6;3;-;-;1
C14;Lip, oral cavity and pharynx, NOS;20;-;-;-;-;-;-;-;-;1;1;-;4;2;6;1;3;-;2
C15;Oesophagus;215;-;-;-;-;-;-;-;1;3;5;17;29;51;45;20;21;15;8
C16;Stomach;246;-;-;-;-;-;1;1;-;2;8;17;24;36;44;28;32;37;16
C17;Small intestine;63;-;1;-;-;-;2;-;-;3;4;9;7;5;10;6;5;8;3
C18;Colon;877;-;-;-;-;2;2;4;3;10;20;45;65;107;153;153;107;114;92
C19;Rectosigmoid junction;32;-;-;-;-;-;-;1;-;-;2;3;4;2;7;4;6;2;1
C20;Rectum;444;-;-;-;-;-;3;1;3;8;15;33;59;66;63;51;63;50;29
C21;Anus and anal canal;17;-;-;-;-;-;-;-;-;-;1;1;3;1;3;2;2;4;-
C22;Liver and intrahepatic bile ducts;264;1;-;-;-;1;-;3;-;3;6;11;21;48;62;42;30;29;7
C23;Gallbladder;9;-;-;-;-;-;-;-;-;1;-;1;1;1;1;-;1;2;1
C24;Biliary tract, NOS;60;-;-;-;-;-;-;-;-;1;1;2;5;8;7;7;9;14;6
C25;Pancreas;313;-;-;-;-;1;1;1;2;2;9;20;39;39;52;45;50;33;19
C26;Other ill-defined digestive organs;17;-;-;-;-;-;-;-;-;-;1;-;-;3;5;3;3;2;-
C30;Nasal cavity and middle ear;12;-;-;-;-;-;-;-;-;-;-;1;3;-;-;4;1;1;2
C31;Accessory sinuses;10;-;-;-;-;-;-;-;-;-;2;1;-;2;-;2;1;-;2
C32;Larynx;166;-;-;-;-;-;1;-;-;4;7;18;23;41;37;16;8;5;6
C33;Trachea;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-
C34;Bronchus and lung;1963;1;-;-;-;1;2;2;5;12;44;104;243;329;371;285;287;176;101
C37;Thymus;8;-;-;1;-;1;1;-;-;-;-;-;1;-;2;-;1;1;-
C38;Heart, mediastinum and pleura;3;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;14;-;1;2;2;-;1;-;1;2;2;1;1;-;1;-;-;-;-
C41;Bone and articular cartilage, NOS;8;-;-;1;1;1;-;1;-;-;-;1;1;1;-;-;1;-;-
C43;Malignant melanoma of skin;370;-;-;-;3;5;8;17;23;26;35;30;40;34;37;36;35;28;13
C44;Malignant neoplasms of skin;1064;-;-;-;-;1;3;5;4;2;20;26;50;91;103;119;212;186;242
C45;Mesothelioma;63;-;-;-;-;-;-;-;1;-;-;2;4;5;12;13;10;12;4
