icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;4;-;-;-;-;-;-;-;-;-;-;2.84212022168538;3.15099571464583;-;-;-;5.85720142915715;-;5.28932613984978;0.663931269834947;0.5580454483783671;0.3531644846609226;0.02996109045024786
C01;Base of tongue;4;-;-;-;-;-;-;-;-;-;-;-;3.15099571464583;-;4.23477598035064;-;5.85720142915715;6.57851457140977;-;0.663931269834947;0.5413799563900161;0.3445476951449727;0.03692204061132021
C02;Tongue;14;-;-;-;-;-;-;-;2.14275000535687;-;2.65879662864587;-;3.15099571464583;-;16.9391039214026;10.7927257028763;-;19.7355437142293;10.5786522796996;2.32375944442231;1.829655895140624;1.289731238295246;0.1782627826877992
C03;Gum;4;-;-;-;-;-;-;-;-;-;-;-;3.15099571464583;3.64073251538209;-;-;-;13.1570291428195;-;0.663931269834947;0.5026666600760493;0.3374542749152143;0.03395287585622464
C04;Floor of mouth;2;-;-;-;-;-;-;-;-;-;2.65879662864587;-;-;-;-;-;-;-;5.28932613984978;0.331965634917473;0.2390090254037087;0.1859744284180011;0.01329309953244096
C05;Palate;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4.23477598035064;-;-;-;-;0.165982817458737;0.1693910392140256;0.1270432794105192;0.02117163839401304
C06;Mouth, NOS;8;-;-;-;-;-;-;-;2.14275000535687;-;-;-;-;-;8.46955196070128;5.39636285143813;11.7144028583143;6.57851457140977;5.28932613984978;1.32786253966989;1.003631928625057;0.667062048310654;0.08001129796432194
C07;Parotid gland;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5.85720142915715;-;-;0.165982817458737;0.117144028583143;0.05857201429157149;-
C08;Salivary glands, NOS;2;-;-;-;-;-;-;-;-;-;-;2.84212022168538;-;-;4.23477598035064;-;-;-;-;0.331965634917473;0.3683394547320022;0.2691492904947882;0.0353782214410292
C09;Tonsil;4;-;-;-;-;-;-;-;-;-;2.65879662864587;-;-;3.64073251538209;8.46955196070128;-;-;-;-;0.663931269834947;0.7069344682023666;0.5592436571550742;0.07381814651431506
C10;Oropharynx;9;-;-;-;-;-;-;-;-;-;-;-;3.15099571464583;7.28146503076419;12.7043279410519;-;5.85720142915715;6.57851457140977;5.28932613984978;1.49384535712863;1.297128547754774;0.9163394858958271;0.1156170553538782
C11;Nasopharynx;7;2.31905568052689;-;-;-;-;-;1.90919851846195;4.28550001071375;2.41925728801258;2.65879662864587;2.84212022168538;-;-;-;-;-;-;-;1.16187972221116;1.173565541168518;1.096757839497545;0.08213589173483582
C12;Pyriform sinus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C13;Hypopharynx;2;-;-;-;-;-;-;-;-;-;-;-;-;3.64073251538209;4.23477598035064;-;-;-;-;0.331965634917473;0.3514276649831301;0.2726725800258028;0.03936979054194323
C14;Lip, oral cavity and pharynx, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4.23477598035064;-;-;-;-;0.165982817458737;0.1693910392140256;0.1270432794105192;0.02117163839401304
C15;Oesophagus;22;-;-;-;-;-;-;-;-;-;-;5.68424044337076;9.45298714393748;7.28146503076419;16.9391039214026;21.5854514057525;5.85720142915715;19.7355437142293;15.8679784195493;3.65162198409221;3.12745626016002;2.130061879874197;0.3042524509918376
C16;Stomach;38;-;-;-;-;-;1.88593844296922;-;-;7.25777186403774;5.31759325729175;5.68424044337076;3.15099571464583;7.28146503076419;12.7043279410519;16.1890885543144;64.4292157207286;26.3140582856391;31.7359568390987;6.30734706343199;4.826251314887281;3.246361276851065;0.296915437884937
C17;Small intestine;12;-;-;-;-;-;-;-;4.28550001071375;-;-;2.84212022168538;9.45298714393748;-;-;5.39636285143813;17.5716042874714;6.57851457140977;5.28932613984978;1.99179380950484;1.698114023309355;1.120338000944368;0.1098244998439912
C18;Colon;215;-;-;-;6.5470734581642;2.48719096652241;1.88593844296922;3.8183970369239;6.42825001607063;4.83851457602516;15.9527797718752;19.8948415517976;47.2649357196874;43.6887901845851;88.9302955873634;167.287248394582;205.0020500205;138.148805999605;296.202263831588;35.6863057536284;26.36942563388881;17.66968424668209;2.024350510102502
C19;Rectosigmoid junction;11;-;-;-;-;-;-;-;-;-;-;2.84212022168538;-;7.28146503076419;-;16.1890885543144;5.85720142915715;13.1570291428195;10.5786522796996;1.8258109920461;1.403195166493952;0.9343968048052916;0.1314768623746465
C20;Rectum;78;-;-;-;-;-;-;1.90919851846195;2.14275000535687;2.41925728801258;5.31759325729175;8.52636066505613;25.2079657171666;32.7665926384389;55.0520877445583;59.3599913658194;46.8576114332572;65.7851457140978;58.1825875383476;12.9466597617815;10.732581568291;7.379805551872352;0.9588821102154865
C21;Anus and anal canal;22;-;-;-;-;-;-;-;-;-;-;5.68424044337076;18.905974287875;3.64073251538209;12.7043279410519;16.1890885543144;5.85720142915715;19.7355437142293;15.8679784195493;3.65162198409221;3.181316938269994;2.127581528577131;0.2852143076658376
C22;Liver and intrahepatic bile ducts;27;-;-;-;-;-;-;-;-;2.41925728801258;-;11.3684808867415;-;7.28146503076419;25.4086558821038;32.3781771086288;11.7144028583143;13.1570291428195;21.1573045593991;4.48153607138589;3.894337866502483;2.703376998578324;0.3935039172288435
C23;Gallbladder;5;-;-;-;-;-;-;-;-;-;-;-;6.30199142929166;-;-;-;-;6.57851457140977;10.5786522796996;0.829914087293683;0.5496911542685934;0.3378654914272133;0.03150499328085088
