icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;3;-;-;-;-;-;-;-;-;-;-;2.737625930792817;-;-;4.958841614598829;-;8.55798031664527;-;-;0.517424262023646;0.5611470860723557;0.3712263481440584;0.03847493422508563
C01;Base of tongue;8;-;-;-;-;-;-;-;-;-;2.379535990481856;2.737625930792817;9.885655913269845;-;4.958841614598829;-;-;22.94367328209246;-;1.37979803206306;1.379131086690296;0.9385633073477733;0.09975850533158193
C02;Tongue;10;-;-;-;-;-;2.070179070489597;-;-;-;2.379535990481856;2.737625930792817;6.59043727551323;8.086035416835125;4.958841614598829;6.970584134950509;8.55798031664527;-;-;1.72474754007882;1.881472671761423;1.406083423605082;0.1688235296539831
C03;Gum;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.970584134950509;17.11596063329054;-;-;0.517424262023646;0.5514367367143261;0.3105712890319156;0.0348468477499031
C04;Floor of mouth;12;-;-;-;-;-;-;-;-;-;2.379535990481856;2.737625930792817;3.295218637756615;8.086035416835125;24.79420807299415;6.970584134950509;8.55798031664527;-;-;2.06969704809459;2.332261676897567;1.703721346207509;0.2410251078308168
C05;Palate;2;-;-;-;-;-;-;-;-;-;2.379535990481856;-;-;-;4.958841614598829;-;-;-;-;0.344949508015764;0.3649211839176831;0.2915374078668763;0.03668515737539346
C06;Mouth, NOS;5;-;-;-;-;-;-;1.990128960356631;-;-;-;5.475251861585633;-;-;-;6.970584134950509;-;-;12.97858533419857;0.862373770039411;0.8614800349264595;0.5974749400706827;0.07215378141532947
C07;Parotid gland;8;-;-;-;-;2.687016337059329;-;3.980257920713262;-;-;-;-;3.295218637756615;4.043017708417563;4.958841614598829;-;-;11.47183664104623;12.97858533419857;1.37979803206306;1.309431086066758;1.018323594368698;0.09477681946677974
C08;Salivary glands, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.970584134950509;-;-;-;0.172474754007882;0.2091175240485153;0.1394116826990102;0.0348468477499031
C09;Tonsil;25;-;-;-;-;-;-;-;-;-;-;13.68812965396408;16.47609318878308;32.3441416673405;9.917683229197658;34.85292067475255;-;-;-;4.31186885019705;5.006236699881978;3.631804787314128;0.5349588136785544
C10;Oropharynx;17;-;-;-;-;-;-;-;-;-;-;5.475251861585633;9.885655913269845;16.17207083367025;14.87652484379649;13.94116826990102;17.11596063329054;11.47183664104623;-;2.932070818134;3.255344147715861;2.269709563206937;0.3012985407550128
C11;Nasopharynx;6;-;-;-;-;-;-;-;1.999960000799984;4.377325454147516;2.379535990481856;-;-;4.043017708417563;-;6.970584134950509;-;-;-;1.03484852404729;1.024245910649448;0.826541677761474;0.09880327383466891
C12;Pyriform sinus;13;-;-;-;-;-;-;-;1.999960000799984;-;-;2.737625930792817;9.885655913269845;16.17207083367025;14.87652484379649;6.970584134950509;-;-;-;2.24217180210247;2.537552429491574;1.884895394478148;0.262866008941709
C13;Hypopharynx;8;-;-;-;-;-;-;-;-;2.188662727073758;-;-;3.295218637756615;12.12905312525269;4.958841614598829;6.970584134950509;-;11.47183664104623;-;1.37979803206306;1.479561720466125;1.093826748487004;0.1476027610121111
C14;Lip, oral cavity and pharynx, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C15;Oesophagus;37;-;-;-;-;-;-;-;-;2.188662727073758;2.379535990481856;-;23.06653046429631;24.25810625050538;39.67073291679063;55.76467307960407;25.67394094993582;11.47183664104623;25.95717066839714;6.38156589829164;7.064209451764838;4.91637728678778;0.733934655738766
C16;Stomach;77;-;-;-;-;-;2.070179070489597;-;1.999960000799984;10.94331363536879;9.518143961927425;10.95050372317127;32.95218637756615;48.51621250101076;34.71189130219181;76.6764254844556;68.46384253316216;114.7183664104623;51.91434133679429;13.2805560586069;13.61106117988465;9.41224773564935;1.135201485433879
C17;Small intestine;15;-;-;-;-;-;-;-;-;-;7.138607971445568;-;9.885655913269845;8.086035416835125;9.917683229197658;13.94116826990102;17.11596063329054;11.47183664104623;-;2.58712131011823;2.769123639980347;1.95205678330302;0.2445462512767449
C18;Colon;229;-;-;2.938842683751139;-;-;2.070179070489597;5.970386881069894;1.999960000799984;8.754650908295032;28.55443188578227;13.68812965396408;62.60915411737569;117.2475135441093;138.8475652087672;257.9116129931688;265.2973898160034;355.6269358724332;350.4218040233615;39.496718667805;39.75497179356242;26.53242595065661;3.152210596581728
C19;Rectosigmoid junction;9;-;-;-;-;-;-;-;-;-;2.379535990481856;-;-;12.12905312525269;4.958841614598829;-;25.67394094993582;-;12.97858533419857;1.55227278607094;1.61463851252102;1.098331869047335;0.0972897964109043
C20;Rectum;93;-;-;-;-;-;-;1.990128960356631;7.999840003199936;6.565988181221274;9.518143961927425;32.8515111695138;32.95218637756615;68.73130104309857;54.54725776058713;62.73525721455457;85.57980316645272;114.7183664104623;25.95717066839714;16.040152122733;16.720788555122;11.72465971587213;1.379849657787147
C21;Anus and anal canal;11;-;-;-;-;-;-;-;-;-;-;2.737625930792817;3.295218637756615;8.086035416835125;4.958841614598829;27.88233653980204;-;11.47183664104623;12.97858533419857;1.8972222940867;2.072976684793113;1.42079554783354;0.2345248504367237
C22;Liver and intrahepatic bile ducts;63;2.222963209958875;-;-;-;-;-;5.970386881069894;-;8.754650908295032;4.759071980963713;2.737625930792817;16.47609318878308;48.51621250101076;49.58841614598829;55.76467307960407;94.13778348309799;57.35918320523115;12.97858533419857;10.8659095024966;11.39034496553665;8.068388319046036;0.9692229319562484
C23;Gallbladder;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12.97858533419857;0.172474754007882;0.1297858533419857;0.06489292667099286;-
C24;Biliary tract, NOS;11;-;-;-;-;-;-;-;-;-;-;2.737625930792817;3.295218637756615;4.043017708417563;-;6.970584134950509;17.11596063329054;-;64.89292667099286;1.8972222940867;1.791863822266027;1.065446672773488;0.08519591971002383
C25;Pancreas;65;-;-;-;-;-;-;-;-;2.188662727073758;4.759071980963713;19.16338151554972;13.18087455102646;44.47319479259319;74.38262421898244;55.76467307960407;34.23192126658108;68.83101984627739;90.85009733939002;11.2108590105123;11.77198510667807;8.168692918760222;1.063862933471449
C26;Other ill-defined digestive organs;3;-;-;-;-;-;-;-;-;-;-;-;-;4.043017708417563;4.958841614598829;6.970584134950509;-;-;-;0.517424262023646;0.6096220740533466;0.4498976394736776;0.07983033590870381
C30;Nasal cavity and middle ear;4;-;-;-;-;-;-;-;-;2.188662727073758;-;2.737625930792817;-;4.043017708417563;-;6.970584134950509;-;-;-;0.689899016031528;0.7561086155200537;0.569333451199779;0.07966770092836528
C31;Accessory sinuses;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C32;Larynx;49;-;-;-;-;-;-;-;1.999960000799984;-;4.759071980963713;21.90100744634253;19.77131182653969;32.3441416673405;39.67073291679063;41.82350480970305;51.34788189987163;34.41550992313869;12.97858533419857;8.45126294638622;9.152121604460365;6.362251809961339;0.8080661036964587
C33;Trachea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C34;Bronchus and lung;399;-;-;-;-;2.687016337059329;-;3.980257920713262;3.999920001599968;8.754650908295032;28.55443188578227;79.39115199299167;148.2848386990477;222.3659739629659;272.7362888029356;467.0291370416841;487.8048780487805;493.288975564988;350.4218040233615;68.817426849145;72.04464007356911;48.3471811394296;6.001295279074959
C37;Thymus;4;-;-;-;-;-;-;-;1.999960000799984;2.188662727073758;-;2.737625930792817;-;-;-;-;8.55798031664527;-;-;0.689899016031528;0.6559970124395645;0.4737784633785181;0.03462524737044559
C38;Heart, mediastinum and pleura;3;-;-;-;-;-;-;-;-;-;-;-;3.295218637756615;8.086035416835125;-;-;-;-;-;0.517424262023646;0.6020148891071532;0.4552501621836696;0.05689008172589105
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;4;-;-;2.938842683751139;-;5.374032674118658;-;1.990128960356631;-;-;-;-;-;-;-;-;-;-;-;0.689899016031528;0.7212103022758499;0.813826193088493;0.05150175488209952
C41;Bone and articular cartilage, NOS;6;-;-;-;-;-;-;-;1.999960000799984;2.188662727073758;-;-;-;-;9.917683229197658;-;8.55798031664527;-;12.97858533419857;1.03484852404729;0.9908563797939595;0.6993205903857999;0.07050666214873935
C43;Malignant melanoma of skin;98;-;-;-;-;2.687016337059329;-;5.970386881069894;1.999960000799984;2.188662727073758;16.65675193337299;24.63863337713535;52.72349820410584;40.43017708417563;64.46494098978478;83.6470096194061;102.6957637997433;68.83101984627739;90.85009733939002;16.9025258927724;17.71355191043604;12.2142373258992;1.466180529151118
C44;Malignant neoplasms of skin;288;-;-;-;-;-;4.140358140979195;3.980257920713262;1.999960000799984;8.754650908295032;11.89767995240928;19.16338151554972;29.65696773980953;72.77431875151612;109.0945155211743;250.9410288582183;419.3410355156183;596.5355053344041;1051.265412070084;49.67272915427;45.6705155636274;27.70867309862012;2.52947447216727
C45;Mesothelioma;10;-;-;-;-;-;-;-;-;-;-;-;-;4.043017708417563;4.958841614598829;6.970584134950509;17.11596063329054;34.41550992313869;25.95717066839714;1.72474754007882;1.555668092634515;0.9229206487642622;0.07983033590870381
C46;Kaposi's sarcoma;7;-;-;-;-;-;-;-;1.999960000799984;2.188662727073758;-;-;6.59043727551323;4.043017708417563;4.958841614598829;-;-;-;12.97858533419857;1.20732327805517;1.218920230828773;0.890313738138614;0.09885570215679707
C47,C49;Soft tissues;17;4.44592641991775;-;-;3.104047678172337;-;-;-;-;4.377325454147516;2.379535990481856;2.737625930792817;-;8.086035416835125;4.958841614598829;6.970584134950509;25.67394094993582;11.47183664104623;25.95717066839714;2.932070818134;2.937113418912412;2.410671238499999;0.1851280394577492
C48;Retroperitoneum and peritoneum;4;2.222963209958875;-;-;-;-;-;-;-;-;-;-;3.295218637756615;4.043017708417563;-;6.970584134950509;-;-;-;0.689899016031528;0.7868185845315002;0.6996967217410422;0.08262476538225538
C50;Breast;7;-;-;-;-;-;-;-;-;-;2.379535990481856;-;3.295218637756615;4.043017708417563;4.958841614598829;6.970584134950509;8.55798031664527;-;12.97858533419857;1.20732327805517;1.274848171327364;0.8749512742502992;0.1081774364103172
C60;Penis;7;-;-;-;-;-;-;-;-;-;2.379535990481856;-;-;-;4.958841614598829;6.970584134950509;-;45.88734656418492;-;1.20732327805517;1.032912173608048;0.6603858233868111;0.07151922150436807
C61;Prostate;567;-;-;-;-;-;-;-;1.999960000799984;2.188662727073758;9.518143961927425;57.49014454664914;174.6465878011006;299.1833104228997;600.0198353664583;787.6760072494075;761.6602481814292;550.6481587702191;545.10058403634;97.7931855224691;104.2435105995972;69.49957055950951;9.211370373862405
C62;Testis;29;-;-;-;3.104047678172337;2.687016337059329;8.280716281958389;15.92103168285305;9.99980000399992;4.377325454147516;14.27721594289114;-;-;4.043017708417563;4.958841614598829;-;-;-;-;5.00176786622858;4.505805286680549;4.141791242365093;0.3376736593358798
C63;Male genital organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;4.043017708417563;-;-;-;-;-;0.172474754007882;0.2021508854208781;0.1617207083367025;0.02021304543073921
C64;Kidney;81;4.44592641991775;4.895481470602634;-;-;-;-;1.990128960356631;1.999960000799984;4.377325454147516;7.138607971445568;19.16338151554972;26.36174910205292;52.55923020942831;79.34146583358127;41.82350480970305;59.90586221651691;80.30285648732362;77.87151200519143;13.9704550746384;14.54310725318098;10.67507344472135;1.213066113026728
C65;Renal pelvis;12;-;-;-;-;-;-;-;-;-;2.379535990481856;2.737625930792817;-;-;9.917683229197658;13.94116826990102;8.55798031664527;45.88734656418492;12.97858533419857;2.06969704809459;1.932962637070905;1.235916780900873;0.1447751665987429
C66;Ureter;4;-;-;-;-;-;-;-;-;-;-;-;-;-;4.958841614598829;-;17.11596063329054;11.47183664104623;-;0.689899016031528;0.6553912436602263;0.3772840379761014;0.02479113456325122
C67;Bladder;150;-;-;-;-;-;-;-;-;6.565988181221274;11.89767995240928;27.37625930792816;29.65696773980953;80.86035416835126;89.25914906277893;132.4410985640597;213.9495079161318;229.4367328209246;272.55029201817;25.8712131011823;25.87369001986177;16.87335257626203;1.872533593528225
C68;Urinary organs, NOS;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.970584134950509;-;-;-;0.172474754007882;0.2091175240485153;0.1394116826990102;0.0348468477499031
C69;Eye and adnexa;5;-;-;-;-;-;-;-;-;-;-;2.737625930792817;-;-;-;6.970584134950509;8.55798031664527;22.94367328209246;-;0.862373770039411;0.8013476783578425;0.476591148815566;0.04852927106688831
C70;Meninges;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4.958841614598829;6.970584134950509;-;-;-;0.344949508015764;0.4074711886324684;0.288176931136975;0.05962934338423764
C71;Brain;42;8.8918528398355;-;-;-;2.687016337059329;4.140358140979195;3.980257920713262;5.999880002399951;2.188662727073758;4.759071980963713;8.21287779237845;9.885655913269845;28.30112395892294;24.79420807299415;20.91175240485153;-;45.88734656418492;25.95717066839714;7.24393966833105;7.294878590430044;6.088283617848782;0.6218222239830373
C72;Spinal cord, cranial nerves and CNS, NOS;1;-;-;-;3.104047678172337;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.172474754007882;0.2172833374720636;0.2793642910355103;0.01551903406417088
C73;Thyroid gland;31;-;-;-;-;5.374032674118658;2.070179070489597;1.990128960356631;3.999920001599968;4.377325454147516;11.89767995240928;2.737625930792817;9.885655913269845;24.25810625050538;19.83536645839532;13.94116826990102;17.11596063329054;-;-;5.34671737424434;5.631296029494127;4.479115950252899;0.5005788518301024
C74;Adrenal gland;6;2.222963209958875;-;-;-;-;-;-;-;-;-;5.475251861585633;6.59043727551323;-;4.958841614598829;-;-;-;-;1.03484852404729;1.154884588222451;0.9529009177328409;0.09619117640703445
C75;Endocrine glands, NOS;2;-;-;-;3.104047678172337;-;-;-;-;-;-;2.737625930792817;-;-;-;-;-;-;-;0.344949508015764;0.4089171526275607;0.4162455875751511;0.02920410281628261
C81;Hodgkin's disease;17;-;2.447740735301317;2.938842683751139;3.104047678172337;2.687016337059329;8.280716281958389;1.990128960356631;1.999960000799984;2.188662727073758;2.379535990481856;-;6.59043727551323;4.043017708417563;4.958841614598829;6.970584134950509;-;-;-;2.932070818134;2.966213908230972;2.893065206841602;0.2525781439152497
C82-C86;Non-Hodgkin lymphoma;103;-;-;-;9.31214303451701;5.374032674118658;6.210537211468791;7.960515841426525;3.999920001599968;19.69796454366382;14.27721594289114;21.90100744634253;29.65696773980953;48.51621250101076;49.58841614598829;76.6764254844556;85.57980316645272;103.2465297694161;64.89292667099286;17.7648996628119;18.09338229626744;13.46064933361368;1.455165415993476
