icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;23;-;-;-;-;-;-;-;-;1;-;2;1;3;5;2;5;3;1
C01;Base of tongue;74;1;-;-;-;-;-;-;-;-;4;8;8;18;14;8;5;5;3
C02;Tongue;92;-;-;-;-;-;-;1;-;4;8;11;13;17;19;8;6;4;1
C03;Gum;23;-;-;-;-;-;-;-;-;-;1;-;3;3;5;3;2;2;4
C04;Floor of mouth;65;-;-;-;-;-;-;-;-;-;6;7;11;15;9;8;4;2;3
C05;Palate;38;-;1;-;-;-;-;-;-;1;-;7;9;8;3;2;5;1;1
C06;Mouth, NOS;32;-;-;-;-;-;-;-;-;1;1;4;6;5;2;9;2;1;1
C07;Parotid gland;38;-;-;-;-;-;-;-;1;1;3;5;1;2;8;4;3;7;3
C08;Salivary glands, NOS;12;-;-;-;-;-;1;-;1;-;1;1;1;3;1;-;1;-;2
C09;Tonsil;103;-;-;-;-;-;-;-;-;1;7;15;16;17;19;14;9;3;2
C10;Oropharynx;74;-;-;-;-;-;-;-;1;-;3;14;14;18;9;9;4;2;-
C11;Nasopharynx;26;-;-;1;-;-;-;1;1;3;4;1;1;6;4;2;2;-;-
C12;Pyriform sinus;77;-;-;-;-;-;-;-;-;-;2;6;13;14;19;15;5;3;-
C13;Hypopharynx;37;-;-;-;-;-;-;-;-;-;1;3;4;10;10;5;4;-;-
C14;Lip, oral cavity and pharynx, NOS;7;-;-;-;-;-;-;-;-;-;-;-;1;1;3;2;-;-;-
C15;Oesophagus;509;-;-;-;-;-;-;-;4;2;15;40;50;95;97;66;60;51;29
C16;Stomach;508;-;-;-;-;1;1;1;5;10;9;22;51;63;56;77;73;70;69
C17;Small intestine;119;-;-;-;-;-;-;1;4;3;6;8;10;13;19;21;13;17;4
C18;Colon;1977;-;1;4;4;1;3;9;6;14;36;71;127;224;290;355;321;306;205
C19;Rectosigmoid junction;48;-;-;-;-;-;-;-;1;-;3;4;3;4;11;6;5;9;2
C20;Rectum;929;-;-;-;-;1;3;2;4;13;27;48;92;115;138;165;125;113;83
C21;Anus and anal canal;39;-;-;-;-;-;-;-;1;2;-;3;3;6;6;4;5;4;5
C22;Liver and intrahepatic bile ducts;323;2;-;-;-;-;-;-;2;4;6;14;26;41;66;69;41;37;15
C23;Gallbladder;21;-;-;-;-;-;-;-;-;-;-;1;1;-;3;5;3;5;3
C24;Biliary tract, NOS;142;-;-;-;-;-;-;1;1;5;5;7;9;16;17;19;23;23;16
C25;Pancreas;538;-;-;-;1;-;-;1;3;6;16;22;36;62;81;86;94;77;53
C26;Other ill-defined digestive organs;5;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;1
C30;Nasal cavity and middle ear;21;-;-;-;-;-;-;1;-;-;1;3;4;2;3;2;2;1;2
C31;Accessory sinuses;45;-;-;-;-;-;-;1;2;2;2;4;9;3;5;6;3;5;3
C32;Larynx;292;-;-;-;-;-;-;-;-;3;10;18;37;52;53;50;36;18;15
C33;Trachea;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-
C34;Bronchus and lung;3201;-;-;-;1;1;-;3;10;8;39;130;246;437;548;574;534;412;258
C37;Thymus;17;-;-;-;-;-;-;-;1;1;-;3;2;1;5;2;-;2;-
C38;Heart, mediastinum and pleura;23;1;-;-;-;-;-;-;-;2;1;1;1;-;2;3;7;3;2
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;16;-;1;1;3;2;1;-;-;2;2;-;1;1;1;-;-;1;-
C41;Bone and articular cartilage, NOS;24;-;-;-;-;2;2;-;3;-;1;3;4;2;1;2;2;1;1
C43;Malignant melanoma of skin;777;-;-;-;-;4;8;19;21;27;70;78;70;93;99;99;77;70;42
C44;Malignant neoplasms of skin;2956;-;-;-;-;1;2;6;4;12;27;58;79;144;232;434;576;606;775
C45;Mesothelioma;149;-;-;-;-;-;-;-;1;-;1;1;4;21;22;26;37;22;14
