icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;2;-;-;-;-;-;-;-;-;-;-;-;-;3.959768749505029;4.976114649681529;-;-;-;-;0.34342133505044;0.3970330234625126;0.307674189470647;0.04466943723077099
C01;Base of tongue;7;-;-;-;-;2.693385046326223;-;-;-;-;-;2.695345138945042;-;3.959768749505029;9.952229299363058;6.565557087518877;-;-;12.89989680082559;1.20197467267654;1.299254403052585;1.003006315368948;0.1292478295617183
C02;Tongue;15;-;-;-;-;-;-;-;-;2.180977514121829;-;5.390690277890084;12.93284619612661;3.959768749505029;14.92834394904459;-;17.79676098949991;11.50350857011389;12.89989680082559;2.5756600128783;2.701078986144859;1.823932717788114;0.1967692883424577
C03;Gum;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6.565557087518877;-;-;-;0.17171066752522;0.1969667126255663;0.1313111417503775;0.03282239770968642
C04;Floor of mouth;7;-;-;-;-;-;-;-;2.027287286881424;-;2.36630383341221;2.695345138945042;-;7.919537499010058;4.976114649681529;6.565557087518877;-;-;-;1.20197467267654;1.288213711710038;0.995758805366096;0.1326626526766406
C05;Palate;10;-;-;-;-;-;-;-;-;2.180977514121829;-;-;9.699634647094959;15.83907499802012;-;-;-;11.50350857011389;12.89989680082559;1.7171066752522;1.770634308424626;1.27442406350661;0.1385024325222917
C06;Mouth, NOS;5;-;-;-;-;-;-;-;-;-;-;-;3.233211549031653;3.959768749505029;9.952229299363058;6.565557087518877;-;-;-;0.8585533376261;0.9870370150172393;0.7175972326727366;0.1184835861330225
C07;Parotid gland;7;-;-;-;-;-;-;-;2.027287286881424;-;2.36630383341221;-;-;-;-;13.13111417503775;17.79676098949991;-;12.89989680082559;1.20197467267654;1.186418991469941;0.7687048446175002;0.08758514827496011
C08;Salivary glands, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C09;Tonsil;21;-;-;-;-;-;-;-;-;-;-;8.086035416835125;12.93284619612661;7.919537499010058;19.90445859872612;19.69667126255663;17.79676098949991;23.00701714022777;12.89989680082559;3.60592401802962;3.840052966922834;2.586966481460405;0.3421112063539788
C10;Oropharynx;11;-;-;-;-;-;-;-;-;-;2.36630383341221;2.695345138945042;3.233211549031653;7.919537499010058;9.952229299363058;6.565557087518877;8.898380494749954;23.00701714022777;-;1.88881734277742;1.947378661854775;1.356752360253561;0.1635270705801939
C11;Nasopharynx;3;-;-;-;-;-;-;-;2.027287286881424;2.180977514121829;2.36630383341221;-;-;-;-;-;-;-;-;0.51513200257566;0.4602198044090824;0.3944741180649278;0.03286744064499025
C12;Pyriform sinus;13;-;-;-;-;-;-;-;-;-;-;-;19.39926929418992;11.87930624851509;9.952229299363058;6.565557087518877;8.898380494749954;-;-;2.23223867782786;2.530944964572237;1.770004847386969;0.2386964754654164
C13;Hypopharynx;9;-;-;-;-;-;-;-;-;-;-;-;3.233211549031653;15.83907499802012;-;13.13111417503775;8.898380494749954;-;12.89989680082559;1.54539600772698;1.686846445997293;1.178997034334453;0.1608874407819094
C14;Lip, oral cavity and pharynx, NOS;2;-;-;-;-;-;-;-;-;-;-;-;3.233211549031653;-;-;-;-;-;12.89989680082559;0.34342133505044;0.3229916609501551;0.1938279459653941;0.0161647511084495
