icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;15;-;-;-;-;-;-;-;-;-;0.2605652702973831;0.2522557974688653;-;0.2775333942056578;0.315480302987283;0.3551338144212739;0.9707182829935012;1.593786358251297;2.273119902528619;0.258479060955911;0.131130799273719;0.08495684137139113;0.007304576099753657
C01;Base of tongue;45;-;-;-;-;-;-;-;0.5348279993154201;0.2759709347411531;0.5211305405947663;0.756767392406596;1.011815475211786;1.942733759439605;3.15480302987283;1.065401443263822;1.456077424490252;2.125048477668397;2.727743883034342;0.775437182867732;0.5398580337684031;0.3907129632953434;0.04630652809053393
C02;Tongue;109;-;-;-;-;-;-;1.087858143298114;0.5348279993154201;0.8279128042234593;2.605652702973832;1.765790582282057;1.770677081620625;4.163000913084868;5.363165150783811;3.906471958634013;6.309668839457757;3.718834835919694;5.910111746574408;1.87828117627962;1.346137234202452;0.9792775628942146;0.1100661693893557
C03;Gum;40;-;-;-;-;-;-;-;-;-;0.2605652702973831;0.2522557974688653;0.5059077376058928;0.2775333942056578;1.577401514936415;3.551338144212739;3.397513990477253;1.593786358251297;4.546239805057238;0.689277495882428;0.3791153550767431;0.2426084304174107;0.03211984976503324
C04;Floor of mouth;66;-;-;-;-;-;-;0.2719645358245285;-;-;0.5211305405947663;1.009023189875461;2.78249255683241;4.163000913084868;4.101243938834679;3.551338144212739;2.426795707483753;1.593786358251297;0.9092479610114474;1.13730786820601;0.8454040369268927;0.6067038125960683;0.08196735748954298
C05;Palate;47;-;-;-;-;-;0.2695657565228174;-;0.2674139996577101;-;1.042261081189533;1.009023189875461;1.770677081620625;1.942733759439605;2.839322726885547;1.420535257685096;2.912154848980503;1.593786358251297;0.4546239805057237;0.809901057661853;0.6194719619495592;0.4520873456527007;0.05279372347140043
C06;Mouth, NOS;48;-;-;-;-;-;-;-;0.5348279993154201;0.2759709347411531;-;1.009023189875461;1.770677081620625;1.110133576822631;1.261921211949132;3.906471958634013;2.426795707483753;2.656310597085496;2.273119902528619;0.827132995058914;0.5546360787964133;0.37923370697896;0.04933295705793483
C07;Parotid gland;53;-;-;-;-;0.3044325377496347;0.2695657565228174;0.2719645358245285;0.8022419989731302;0.8279128042234593;0.5211305405947663;2.018046379750923;0.7588616064088393;2.220267153645263;2.523842423898264;1.065401443263822;2.426795707483753;2.125048477668397;1.363871941517171;0.913292682044218;0.7239565314169175;0.5501181864614492;0.05790156647378364
C08;Salivary glands, NOS;6;-;-;-;-;-;-;-;0.2674139996577101;0.2759709347411531;-;0.2522557974688653;-;0.2775333942056578;-;-;0.4853591414967506;-;0.4546239805057237;0.103391624382364;0.08382494357601612;0.06344393302309749;0.005365726670103488
C09;Tonsil;62;-;-;-;-;-;-;-;-;-;0.2605652702973831;1.513534784813192;3.288400294438303;3.330400730467893;2.523842423898264;1.420535257685096;3.882873131974005;2.656310597085496;2.273119902528619;1.06838011861776;0.7585325803695377;0.5236645581432109;0.06166737166365399
