icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;9;-;-;-;-;-;-;0.8748294082653882;-;-;-;-;-;-;2.06200447454971;2.547283958479271;2.127614306078594;-;9.984025559105431;0.506823534181869;0.3625292980275699;0.2364918487583131;0.02741683010650808
C01;Base of tongue;59;-;-;-;-;-;-;-;-;-;-;5.550621669626999;8.887883390969911;11.67133520074697;12.37202684729826;12.73641979239636;10.63807153039297;2.787456445993031;-;3.32250983519225;2.622992943101044;1.846107025950795;0.2557638001319251
C02;Tongue;70;-;-;-;-;-;-;0.8748294082653882;0.8791054223222449;0.8716799888424962;4.759562754834922;8.722405480842426;8.079893991790827;9.875745169862817;12.37202684729826;12.73641979239636;6.382842918235783;5.574912891986062;6.656017039403621;3.94196082141453;3.233051537200548;2.348328775070351;0.2954211147824792
C03;Gum;18;-;-;-;-;-;-;-;-;-;0.7932604591391538;0.7929459528038569;1.615978798358166;1.795590030884149;2.06200447454971;6.368209896198179;6.382842918235783;5.574912891986062;-;1.01364706836374;0.7547051414342181;0.5046330041609777;0.06711741423988116
C04;Floor of mouth;50;-;-;-;-;-;-;-;-;0.8716799888424962;3.173041836556615;2.378837858411571;8.887883390969911;10.77354018530489;8.248017898198839;7.641851875437815;10.63807153039297;-;-;2.81568630101038;2.293536893389134;1.654740435254168;0.20965418312483
C05;Palate;18;-;-;-;-;-;-;-;-;-;-;-;1.615978798358166;4.488975077210371;3.093006711824565;7.641851875437815;4.255228612157188;-;-;1.01364706836374;0.7594878787412693;0.5323776800078066;0.08416362485038631
C06;Mouth, NOS;19;-;-;-;-;-;-;-;-;-;-;1.585891905607714;3.231957596716331;2.693385046326223;6.186013423649129;2.547283958479271;2.127614306078594;-;3.328008519701811;1.06996079438394;0.8392905685307641;0.5907505685404421;0.0811896829804648
C07;Parotid gland;21;-;-;-;-;-;-;0.8748294082653882;-;0.8716799888424962;1.586520918278308;-;3.231957596716331;4.488975077210371;2.06200447454971;1.273641979239636;4.255228612157188;5.574912891986062;3.328008519701811;1.18258824642436;0.9465015564597318;0.6832189928815348;0.07192217081424257
C08;Salivary glands, NOS;7;-;-;-;-;-;-;-;-;-;-;-;0.8079893991790829;-;1.031002237274855;-;6.382842918235783;-;6.656017039403621;0.394196082141453;0.2839364822004911;0.1603581574647849;0.009194535458945108
C09;Tonsil;72;-;-;-;-;-;-;-;-;-;1.586520918278308;13.48008119766557;10.50386218932808;16.16031027795734;12.37202684729826;5.094567916958542;4.255228612157188;2.787456445993031;9.984025559105431;4.05458827345495;3.353446897068438;2.415224073576577;0.2955492375319224
