icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+
C00;Lip;8;-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;1;-;2
C01;Base of tongue;33;-;-;-;-;-;-;-;-;2;-;6;2;7;5;3;3;4;1
C02;Tongue;56;-;-;-;-;-;-;-;-;-;3;6;5;10;5;7;8;6;6
C03;Gum;33;-;-;-;-;1;-;-;-;-;-;2;3;2;7;3;6;3;6
C04;Floor of mouth;31;-;-;-;-;-;-;-;-;1;-;3;5;3;11;2;4;1;1
C05;Palate;30;-;-;-;-;-;-;-;-;1;-;3;2;4;7;6;3;3;1
C06;Mouth, NOS;19;-;-;-;-;-;-;-;-;1;1;-;3;4;-;1;4;2;3
C07;Parotid gland;29;-;-;1;-;1;1;-;2;3;1;1;-;3;5;1;2;3;5
C08;Salivary glands, NOS;9;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;2;1;1
C09;Tonsil;37;-;-;-;-;-;-;-;-;1;2;3;7;11;2;4;3;3;1
C10;Oropharynx;22;-;-;-;-;-;1;-;-;-;1;2;-;3;6;-;4;3;2
C11;Nasopharynx;8;-;1;-;-;-;-;-;1;2;1;1;-;-;1;-;-;1;-
C12;Pyriform sinus;8;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;2;-;1
C13;Hypopharynx;8;-;-;-;-;-;-;-;-;-;-;-;-;4;1;2;1;-;-
C14;Lip, oral cavity and pharynx, NOS;4;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-
C15;Oesophagus;170;-;-;-;-;-;1;-;-;-;1;6;9;21;28;34;23;19;28
C16;Stomach;264;-;-;-;-;1;1;3;4;2;9;12;13;29;30;31;33;43;53
C17;Small intestine;103;-;-;-;-;-;1;3;1;5;5;7;8;9;15;16;13;8;12
C18;Colon;1553;-;1;5;3;4;3;8;13;16;39;82;90;111;129;224;212;287;326
C19;Rectosigmoid junction;25;-;-;-;-;-;-;-;-;-;-;2;1;1;1;7;4;2;7
C20;Rectum;423;-;-;-;-;1;2;3;7;12;15;28;40;54;42;54;50;56;59
C21;Anus and anal canal;65;-;-;-;-;-;-;-;-;4;3;4;8;7;13;6;8;5;7
C22;Liver and intrahepatic bile ducts;187;-;2;1;-;1;1;1;2;2;5;9;14;16;26;21;28;33;25
C23;Gallbladder;37;-;-;-;-;-;-;-;-;1;1;1;1;-;-;5;8;12;8
C24;Biliary tract, NOS;88;-;-;-;-;-;-;-;-;-;-;3;5;5;9;10;18;21;17
C25;Pancreas;624;-;-;-;1;-;2;4;2;3;8;23;33;57;89;105;100;110;87
C26;Other ill-defined digestive organs;11;-;-;-;-;-;-;-;-;-;-;2;-;2;2;2;2;-;1
C30;Nasal cavity and middle ear;14;-;-;1;-;-;-;1;-;-;-;1;2;2;-;2;1;1;3
C31;Accessory sinuses;10;-;-;-;-;-;-;1;-;-;-;-;-;1;-;4;1;1;2
C32;Larynx;40;-;-;-;-;-;-;-;-;2;1;3;2;7;6;7;6;-;6
C33;Trachea;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C34;Bronchus and lung;1848;-;-;-;-;2;-;4;9;14;34;94;161;322;375;344;223;171;95
C37;Thymus;30;-;-;-;-;-;-;-;2;3;3;2;3;4;4;5;1;2;1
C38;Heart, mediastinum and pleura;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;4
C39;Respiratory system and intrathoracic organs, NOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
C40;Bone and articular cartilage of limbs;14;-;-;-;-;2;3;-;-;2;2;-;-;-;2;-;1;1;1
