icd-o-3;label;Tot;00-;05-;10-;15-;20-;25-;30-;35-;40-;45-;50-;55-;60-;65-;70-;75-;80-;85+;CR;ESR;WSR;CRi
C00;Lip;8;-;-;-;-;-;-;-;-;-;0.4646602636482335;-;0.4199580881827993;0.9192824081521964;0.5288934491257391;-;0.7726363123614084;-;1.468126963619814;0.238902600902753;0.15497755800241;0.1123830370877792;0.0116632908308878
C01;Base of tongue;33;-;-;-;-;-;-;-;-;0.9620379812595001;-;2.616613752921885;0.8399161763655987;3.217488428532687;2.644467245628696;1.753145435101478;2.317908937084225;3.375242595561556;0.7340634818099069;0.985473228723857;0.7075993057948586;0.5089716965461857;0.06015024758012633
C02;Tongue;56;-;-;-;-;-;-;-;-;-;1.393980790944701;2.616613752921885;2.099790440913997;4.596412040760982;2.644467245628696;4.090672681903449;6.181090498891267;5.062863893342334;4.404380890859442;1.67231820631927;1.083342774665644;0.7526122342866268;0.0871716681719703
C03;Gum;33;-;-;-;-;0.5480713369652194;-;-;-;-;-;0.8722045843072952;1.259874264548398;0.9192824081521964;3.702254143880174;1.753145435101478;4.635817874168451;2.531431946671167;4.404380890859442;0.985473228723857;0.5837349054365162;0.4017899790283784;0.04526391366306282
C04;Floor of mouth;31;-;-;-;-;-;-;-;-;0.4810189906297501;-;1.308306876460943;2.099790440913997;1.378923612228295;5.817827940383131;1.168763623400985;3.090545249445634;0.8438106488903889;0.7340634818099069;0.925747578498169;0.6655520903758734;0.4701299792139952;0.06125438925446147
C05;Palate;30;-;-;-;-;-;-;-;-;0.4810189906297501;-;1.308306876460943;0.8399161763655987;1.838564816304393;3.702254143880174;3.506290870202956;2.317908937084225;2.531431946671167;0.7340634818099069;0.895884753385324;0.5998680469812949;0.4221157312013437;0.05836472053609709
C06;Mouth, NOS;19;-;-;-;-;-;-;-;-;0.4810189906297501;0.4646602636482335;-;1.259874264548398;1.838564816304393;-;0.5843818117004926;3.090545249445634;1.687621297780778;2.202190445429721;0.567393677144039;0.3519587212596147;0.2427204659353093;0.02313982306402229
C07;Parotid gland;29;-;-;0.5491186645434077;-;0.5480713369652194;0.4934932909587094;-;0.9448982580800612;1.44305697188925;0.4646602636482335;0.4361022921536476;-;1.378923612228295;2.644467245628696;0.5843818117004926;1.545272624722817;2.531431946671167;3.670317409049535;0.86602192827248;0.6267373463159378;0.5183479653853902;0.04742461970952405
C08;Salivary glands, NOS;9;-;-;-;-;-;-;-;-;-;-;0.8722045843072952;-;0.4596412040760982;0.5288934491257391;0.5843818117004926;1.545272624722817;0.8438106488903889;0.7340634818099069;0.268765426015597;0.1694077672228192;0.1128924139869204;0.01222485794938333
C09;Tonsil;37;-;-;-;-;-;-;-;-;0.4810189906297501;0.9293205272964671;1.308306876460943;2.939706617279596;5.056053244837081;1.057786898251478;2.337527246801971;2.317908937084225;2.531431946671167;0.7340634818099069;1.10492452917523;0.8109407332463443;0.5878568277801186;0.07052372233266047
